,index,taste,temp,freshness,wait,clean,friend,location,parking,view,overall,pca1,pca2,pca3,fa1,fa2,fa3
0,1,6,7,8,4,5,5,8,8,7,6,-1.3747534375489343,-1.0511236678979337,0.24896975338393315,-0.6747349725407654,-0.520228775085836,0.12821699512859794
1,2,5,5,6,5,6,4,8,9,9,6,1.6273655089632044,-2.1669754642340537,-1.1988488567253657,0.7987280046856429,-1.072486124551517,-0.6173603744576538
2,3,6,7,5,7,8,8,6,8,4,6,0.30726365842557773,4.463872467190745,-2.0706002777323627,0.15081011642421305,2.209252099940838,-1.0663257628628067
3,4,7,9,6,5,6,4,7,7,7,6,-1.8535394982005267,-0.03939074239950657,0.5226029177889707,-0.909734745799026,-0.019491247006602153,0.26912031901959055
4,5,7,8,6,3,3,3,6,7,6,6,-1.2167721671614191,-1.1060781937506536,3.9630762390697685,-0.5972119566969468,-0.5473981026241849,2.040881498199989
5,6,7,7,9,4,4,4,8,9,9,7,-2.381595257082588,-3.3770463793930574,0.10426072360391617,-1.1689062395328624,-1.6713685518176362,0.053707316831158564
6,7,5,5,7,4,4,3,8,8,6,6,0.9464645238960779,-1.51144970141971,2.1752432583184764,0.4645347066324106,-0.748041041327355,1.1201918669565736
7,8,5,6,5,6,7,6,6,6,6,6,1.3943622244593092,2.9627984734826467,-0.28442761940547046,0.6843682798999184,1.4663502744641161,-0.14648715106064422
8,9,7,8,7,4,5,4,6,7,6,6,-1.9300146896645092,0.2561811687975641,2.0842207654461693,-0.947271330905118,0.12680239820463882,1.073314926646065
9,10,6,7,6,5,6,5,6,6,7,6,-0.26118966358462375,1.3023890097637798,0.6768596733776145,-0.12819409997106262,0.644585619955451,0.34855871779454123
10,11,5,5,4,5,5,3,7,7,6,5,2.7765416370713525,0.02850476868271802,1.9790245474794927,1.3627444781525464,0.014118946335272126,1.0191378454808133
11,12,7,8,6,6,6,5,8,9,9,7,-1.1116696410407783,-1.6860297879674513,-2.118735601752395,-0.5456181230966001,-0.8344580397115408,-1.0910867977706153
12,13,7,7,5,5,6,5,6,7,7,6,-0.05701824913924216,0.8352719366964686,0.3519765268742609,-0.027993947055397757,0.4133988190561622,0.18125724487422085
13,14,6,5,7,5,6,3,7,9,9,6,0.4709949663077871,-2.231717270417843,-0.40798415252893055,0.23116646816072536,-1.1045165809660376,-0.21008689736431324
14,15,6,6,6,3,4,3,6,7,5,5,0.39302546040205016,-0.09835359744306525,3.889789448115406,0.19289294917601088,-0.04865831789523707,2.0031380743522633
15,16,8,8,9,2,3,2,8,9,9,6,-3.410639399844747,-5.15346610073867,2.3607710876916386,-1.6739777180750093,-2.5505466548775453,1.2157604169543137
16,17,5,3,5,4,5,4,7,8,6,5,3.3566485480981756,-0.25941008424614553,1.5291137082194914,1.6474645826961303,-0.12838350992859526,0.7874586609000929
17,18,7,7,6,5,6,4,7,7,8,6,-0.6399600932965359,-0.49036177998947,0.1538623402300596,-0.31410391326741993,-0.2426871612707915,0.07923521416631672
18,19,5,6,4,4,4,4,7,8,8,5,2.2950246919188366,-1.7896328942981574,1.2066434897824674,1.1264139439762488,-0.8857185349771761,0.6214035976046132
19,20,6,7,6,4,5,5,6,7,6,6,-0.21627167852673507,0.7423267922779316,1.6019971133995883,-0.10614959041690541,0.3674009530194706,0.8249857479159022
20,21,6,8,6,3,4,2,8,9,8,6,-0.5835601898551898,-3.8479872605318244,1.9149603516627645,-0.2864176819240611,-1.90443997758537,0.9861718864517991
21,22,7,9,7,5,4,5,7,8,6,7,-2.426770489102464,-0.30388293496350016,1.0345596844118352,-1.1910797370608937,-0.15039040582816054,0.5327629453860996
22,23,5,5,7,6,7,6,5,5,3,5,0.5575911853714489,5.401987416141786,1.5194500741646262,0.27367581160181,2.6735639569174126,0.7824428171628369
23,24,8,10,9,4,4,3,9,10,10,7,-4.545726174861776,-5.296024932517207,-0.4558519399513188,-2.2310794656997697,-2.621113047349563,-0.2347316868872955
24,25,6,7,5,3,3,2,8,9,7,6,0.6652793661444183,-3.6045377465776136,2.822429633928074,0.3265172246630713,-1.7839482121557686,1.4534904713502397
25,26,6,6,6,5,6,3,8,8,9,6,0.5255781007983379,-2.175263125257145,-0.36267563407897,0.2579563691421655,-1.0765828634237156,-0.18676006854172877
26,27,7,8,8,5,5,4,9,10,10,7,-2.271715044602945,-4.128662427511936,-1.7982515870958755,-1.1149740575873655,-2.04336821187365,-0.926034493959165
27,28,6,5,4,5,7,5,7,7,8,6,2.282565855671144,0.41523670269212,-0.7914926941982365,1.1202947088310673,0.20550276364859707,-0.4075922631115471
28,29,5,6,6,5,8,6,8,8,8,6,0.909441535839671,0.27198008676618357,-2.463347227652986,0.44637030808873746,0.13458756139433356,-1.2685506047309096
29,30,8,9,8,6,7,7,8,10,8,8,-3.496401201821219,-0.5912400361048592,-3.59961863815613,-1.716060550826807,-0.29263623704146957,-1.853703420260756
30,31,5,5,6,4,3,5,8,10,6,6,1.6876690265662566,-1.9785490319893893,0.9856790516833183,0.8283224039714282,-0.9792244105651103,0.507609180796072
31,32,6,7,5,4,5,4,8,9,8,6,0.6194045410569703,-2.3662183231908624,0.05845080927331978,0.30400586489628945,-1.1710933722343655,0.030115922344265023
32,33,6,6,8,6,8,6,7,7,6,7,-0.9768590116906016,2.384661314642638,-1.4463587382265013,-0.47944339845813777,1.1802077397797648,-0.7448508410014086
33,34,7,9,7,4,4,4,6,7,6,6,-2.493437003505847,-0.14145786486819034,2.560407255385106,-1.2238025107312527,-0.06999317080205651,1.3185371492156792
34,35,7,7,7,6,6,7,6,7,4,6,-1.4235749426115443,3.459329003276961,0.11294054524418148,-0.6987043572673207,1.7120936235108235,0.05813804601084234
35,36,8,9,5,4,5,6,7,7,4,6,-1.7206023119776557,1.6945022308460014,1.5822257448721477,-0.8444975474984727,0.8386412860423571,0.8147915659207756
36,37,5,5,4,5,7,5,7,7,7,6,2.7338210067041846,0.9832463442103206,-0.40096477201622277,1.3417806305877078,0.4866230746022879,-0.20648529775306895
37,38,5,4,4,6,8,6,8,8,7,6,3.3639098349489047,1.218460307780765,-2.40299883292843,1.6510345840842011,0.603021408582879,-1.2374817241522624
38,39,6,7,7,6,7,7,8,9,10,7,-0.6983386533008205,-1.0337024677128341,-4.013806194243292,-0.34274209798346683,-0.5116208848595807,-2.066989781951592
39,40,6,6,6,5,6,5,6,7,7,6,0.3673355201201286,0.8884207939656045,0.3483369871375818,0.18028930115852515,0.4397035098792407,0.17938334799410216
40,41,7,9,8,4,4,4,9,10,10,7,-2.8319831637240016,-4.809879309036839,-0.9380755919979002,-1.3899577252115562,-2.3805144925347315,-0.4830608656174586
41,42,7,8,6,3,5,3,8,7,8,6,-1.157994317391845,-2.223853520686762,1.6064528925641253,-0.5683595570687893,-1.100630609014041,0.8272909131742183
42,43,6,7,8,5,6,6,8,8,8,7,-1.3875984076898953,-0.5577364721935988,-1.5217564771049787,-0.6810367965495083,-0.27604786119859703,-0.7836603680504823
43,44,8,9,8,4,4,5,5,6,6,6,-3.6858765793743906,1.0285826961504199,2.6827777677754425,-1.8090654666835557,0.5090869112202552,1.3815515696851277
44,45,8,8,8,7,6,8,7,9,8,8,-2.945222106325781,0.6035917685708508,-3.3502086888055707,-1.4455397427348016,0.29871918541589726,-1.7252723984666678
45,46,5,6,6,4,4,2,6,7,9,5,0.9591538204425764,-2.3117496223921603,2.4336015367425703,0.47076038978089585,-1.1441081760897505,1.2532529059320507
46,47,5,5,2,6,7,6,7,9,5,6,4.040187936842015,1.8579784441115437,-1.1583590532422865,1.982952356436384,0.9195430681615094,-0.5965288485427163
47,48,3,5,4,5,6,5,9,10,10,6,3.9604350067075047,-3.038700087592864,-2.7139932565532203,1.9438272094932245,-1.5039330185328401,-1.397607708494639
48,49,7,9,6,5,6,3,8,9,6,7,-1.7709888353895447,-1.185053147719134,0.4427231749448681,-0.8692182644505778,-0.5865060083226133,0.22798534916608895
49,50,7,8,7,4,5,6,6,5,5,6,-2.022827823419102,2.4821305527590014,2.150105167846695,-0.9928235711231475,1.2284626752875554,1.1072318447661158
