index,p_saleprice
1,176437.1205
4,173628.305
7,173013.1699
11,172153.3414
13,173990.5249
18,173483.4171
20,175753.2318
22,174690.1525
26,172821.0957
43,173639.7753
44,176195.9204
45,174142.6852
46,173711.6902
52,170824.5652
53,171908.9497
55,171208.2487
58,168236.6322
63,170637.8974
66,176399.2342
69,175723.5863
74,172356.2845
81,171615.2565
85,175221.6584
89,172428.2109
92,171580.1277
93,176254.3283
97,174935.4331
101,174966.9029
102,173835.8738
103,169951.5501
104,173938.7184
106,173239.7419
107,173844.3892
109,174651.3483
113,173336.0729
122,172969.3602
124,175052.3374
127,170058.0018
132,175580.0244
144,175080.2261
153,176238.5496
154,173273.1744
156,171940.3442
162,176961.7387
164,171494.8241
169,174514.3964
173,170074.9363
174,174167.4944
180,175224.3917
184,159025.699
187,175481.1586
190,175271.6516
195,174406.0803
196,175345.2142
197,166768.5135
201,170154.2231
203,177278.1255
208,174624.1773
211,173793.1089
215,173989.594
221,173814.0703
224,174203
225,171042.4036
231,177075.3943
234,175165.7859
236,170463.5462
240,162792.0567
246,175774.9103
249,170465.8967
250,174585.6276
254,170095.3001
257,174445.3695
260,175734.9695
263,174514.0227
267,173190.9121
269,174996.4176
272,177725.8033
275,175691.6472
278,170413.8194
279,174923.4337
283,176628.8955
287,171669.3043
289,175158.8541
297,174767.217
300,172990.6218
301,170404.2301
304,177344.8455
322,174000.6813
325,174473.3754
326,171601.458
331,175057.724
333,174999.2848
335,171217.652
336,170464.8499
338,174529.75
341,173743.6072
343,174305.412
345,171257.9907
346,175799.8524
349,162940.3761
352,174269.0167
353,174911.6822
354,171511.3054
358,175703.0061
369,178182.2627
380,168994.5125
386,173460.4326
390,174928.9427
399,171028.2666
413,176394.2834
416,176485.0011
419,172005.5007
427,174337.9095
433,175032.6955
434,172890.3426
436,173944.4286
440,175360.855
449,173339.5912
454,175470.7002
455,173304.9739
462,172507.0082
463,174278.3475
468,175975.9174
469,174890.2238
478,176143.7945
481,175516.7354
484,171250.1551
488,174933.4819
495,173404.2065
500,175368.9887
501,172477.7284
504,170289.823
506,174718.4467
508,170790.1851
517,175085.2752
529,170407.2763
