Test Data with Prediction,
X,Y
8,6.7687
9,7.1146
14,8.8441
4,5.3851
,
y = .3459x + 4.0015,
,
In order to solve this problem I used Jupyter notebook and Python to get the coefficients for the formula. ,
"Below is my Python code and output. I used Pandas for Everyone by Daniel Chen for reference.  In order to get the best model fit, I dropped point (13,12.74) , since it appeared to be an outlier.",
import pandas as pd,
"df = pd.read_csv(""train.csv"")",
import statsmodels.formula.api as smf,
"model = smf.ols(formula='Y ~ X', data=df)",
results = model.fit(),
print(results.summary()),
,
 OLS Regression Results                            ,
==============================================================================,
Dep. Variable:                      Y   R-squared:                       1.000,
Model:                            OLS   Adj. R-squared:                  1.000,
Method:                 Least Squares   F-statistic:                 5.376e+05,
"Date:                Thu, 10 Jan 2019   Prob (F-statistic):           2.08e-11",
Time:                        22:07:15   Log-Likelihood:                 27.480,
No. Observations:                   6   AIC:                            -50.96,
Df Residuals:                       4   BIC:                            -51.38,
Df Model:                           1                                         ,
Covariance Type:            nonrobust                                         ,
==============================================================================,
                 coef    std err          t      P>|t|      [0.025      0.975],
------------------------------------------------------------------------------,
Intercept      4.0015      0.004    953.257      0.000       3.990       4.013,
X              0.3459      0.000    733.187      0.000       0.345       0.347,
==============================================================================,
Omnibus:                          nan   Durbin-Watson:                   1.351,
Prob(Omnibus):                    nan   Jarque-Bera (JB):                0.725,
Skew:                           0.428   Prob(JB):                        0.696,
Kurtosis:                       1.528   Cond. No.                         30.4,
