,index,p_saleprice
0,1,19643.046249368483
1,4,262229.22480976256
2,7,186789.12997421806
3,11,239793.50887354117
4,13,183914.55386988967
5,18,232081.23152046502
6,20,111278.92352637285
7,22,137921.3362006358
8,26,236638.48632001
9,43,128386.15692774169
10,44,118570.5312056448
11,45,154748.12315280185
12,46,182231.87517467307
13,52,305628.3128238908
14,53,234114.46827718514
15,55,200811.45243435644
16,58,191977.38928446925
17,63,295392.0174279898
18,66,71455.52773957982
19,69,124600.12986350432
20,74,218479.5787341308
21,81,360455.59364303196
22,85,119972.76345165865
23,89,219881.81098014466
24,92,279476.68143573275
25,93,109105.4635450514
26,97,112751.26738468738
27,101,121655.44214687526
28,102,190364.82220155335
29,103,238321.1650152266
30,104,225350.51673959862
31,106,266085.3634863006
32,107,166526.8740193181
33,109,153626.33735599078
34,113,177744.7319874288
35,122,218129.02067262735
36,124,142688.92583708282
37,127,182161.7635623724
38,132,133574.41623799287
39,144,135958.21105621642
40,153,118710.75443024619
41,154,180899.75454095993
42,156,273587.3060024746
43,162,72577.3135363909
44,164,261528.10868675567
45,169,166807.32046852086
46,173,224228.73094278754
47,174,136238.65750541916
48,180,116607.40606122543
49,184,763877.8108212133
50,187,113312.1602830929
51,190,179918.19196875024
52,195,191065.93832456027
53,196,157973.25731863367
54,197,311517.68825714896
55,201,197375.98343162253
56,203,111138.70030177146
57,208,157412.36442022814
58,211,154748.12315280185
59,215,224298.84255508822
60,221,164002.85597649319
61,224,196254.19763481145
62,225,135397.31815781086
63,231,142478.59100018075
64,234,99780.61910905936
65,236,306539.76378379983
66,240,373075.6838571565
67,246,153626.33735599078
68,249,197375.98343162253
69,250,171294.46365576514
70,254,300159.6070644369
71,257,183073.21452228137
72,260,110507.69579106523
73,263,116607.40606122543
74,267,184475.44676829522
75,269,134836.42525940534
76,272,36820.391263038
77,275,125301.24598651123
78,278,188401.69705713398
79,279,165405.088222507
80,283,132031.96076737766
81,287,205088.26078469865
82,289,169471.56173594715
83,297,128316.04531544098
84,300,207331.8323783208
85,301,204246.92143709035
86,304,72717.53676099228
87,322,235727.035360101
88,325,129648.16594915412
89,326,157272.14119562675
90,331,131471.0678689721
91,333,109876.691280359
92,335,123969.12535279809
93,336,156991.69474642398
94,338,137430.55491453095
95,341,120042.87506395933
96,343,184195.00031909245
97,345,322945.88106216176
98,346,208523.72978743256
99,349,251361.92490315533
100,352,137851.22458833508
101,353,105109.10164391194
102,354,271974.7389195587
103,358,142268.25616327868
104,369,53506.95499060269
105,380,180128.52680565233
106,386,188121.2506079312
107,390,150821.8728639631
108,399,282351.25754006114
109,413,124740.35308810571
110,416,103776.9810101988
111,419,242948.53142707227
112,427,206981.27431681732
113,433,178095.29004893225
114,434,200881.56404665712
