index,p_saleprice
1,19262.93665
4,278017.6797
7,190183.5009
11,221044.1583
13,186578.6947
18,231067.2778
20,134177.1226
22,140859.2022
26,224561.0423
43,155630.1152
44,116241.014
45,154926.7384
46,178665.7057
52,327254.0562
53,236958.0586
55,174709.2111
58,196777.6584
63,316703.4041
66,47310.08685
69,131187.7711
74,214450.0007
81,398998.4906
85,90216.07211
89,230363.901
92,287073.6561
93,115625.5593
97,107360.8818
101,147189.5935
102,183061.8107
103,230715.5894
104,217966.8848
106,253047.803
107,173917.9122
109,145079.4631
113,170137.2619
122,225616.1076
124,132418.6806
127,179544.9267
132,144727.7747
144,138045.695
153,92853.73513
154,180863.7582
156,277665.9913
162,66301.26065
164,249091.3085
169,153168.2964
173,227462.4717
174,143848.5537
180,119757.898
184,851093.9336
187,110262.3111
190,156948.9467
195,205657.7906
196,167411.6767
197,309317.9477
201,193612.4628
203,134001.2784
208,166180.7673
211,138045.695
215,219285.7163
221,176028.0426
224,182710.1223
225,138133.6171
231,128198.4197
234,98656.5938
236,283644.6942
240,388535.7606
246,140859.2022
249,195722.5932
250,169082.1967
254,303339.2448
257,183765.1875
260,108591.7912
263,115537.6372
267,187457.9157
269,142617.6443
272,19175.01455
275,130660.2385
278,182885.9665
279,173566.2238
283,133122.0574
287,191502.3324
289,143848.5537
297,117823.6118
300,215856.7544
301,211021.0388
304,54871.38753
322,252168.582
325,128374.2639
326,147365.4377
331,132418.6806
333,107097.1155
335,123626.4705
336,148948.0355
338,105602.4398
341,101645.9452
343,190798.9556
345,337980.5526
346,238101.0459
349,265796.5077
352,140155.8254
353,126439.9777
354,273006.12
358,139276.6044
369,42738.1376
380,176379.731
386,187985.4484
390,157388.5572
399,272038.9769
413,134880.4994
416,99447.8927
419,233001.564
427,207679.999
433,184204.798
434,193084.9302
436,182710.1223
440,146310.3725
449,235111.6945
454,154311.2837
455,170840.6387
462,120988.8074
463,167235.8325
468,101645.9452
469,178753.6278
478,45903.33323
481,144639.8526
484,243728.0603
488,182534.2781
495,192557.3976
500,131451.5374
501,311779.7665
504,320220.2882
506,139979.9812
508,147892.9703
517,128901.7965
529,311691.8444
530,183237.6549
539,314944.9621
540,106833.3492
542,199767.0099
548,172423.2365
553,187809.6042
555,44848.26802
556,268522.0928
560,294371.1905
566,335606.6558
567,312834.8317
573,279424.4333
574,116768.5466
575,195019.2164
578,183413.4991
583,189304.2799
586,118351.1444
587,318813.5346
588,227022.8612
591,171807.7818
592,213482.8576
593,-15466.29322
595,125912.4451
602,239595.7216
607,168906.3524
608,206097.4011
615,261400.4026
633,130836.0827
635,268961.7033
640,151058.166
643,287864.955
645,212515.7145
650,298591.4513
651,156685.1804
676,193348.6965
677,341585.3587
685,138397.3834
690,162488.0391
692,287249.5003
693,152464.9196
697,366994.8459
701,188337.1368
708,134528.811
709,256476.765
712,136814.7856
715,151058.166
716,134880.4994
717,152289.0754
719,144376.0863
724,227550.3938
731,158091.934
733,166268.6894
734,87930.09748
736,226934.9391
739,145431.1515
740,129253.4849
750,176379.731
752,177083.1078
753,203723.5044
761,115537.6372
763,185963.24
772,247948.3212
775,147189.5935
780,313977.819
781,227990.0043
787,153344.1406
792,277050.5366
793,154223.3616
795,114658.4162
796,382469.1356
797,323121.7175
802,158531.5445
813,216560.1312
822,164686.0916
829,90216.07211
839,269225.4696
840,310900.5455
843,150882.3218
844,151409.8544
845,146486.2167
852,212955.325
854,271687.2884
855,179896.6151
856,112372.4415
858,179984.5372
860,198272.3342
865,216999.7417
868,110701.9216
884,188864.6694
892,186227.0063
896,280039.888
899,170049.3398
900,175324.6658
902,179720.7709
904,234760.0061
909,241793.7741
911,230188.0568
912,210141.8178
916,183853.1096
919,163455.1822
923,114658.4162
927,192381.5534
928,231594.8104
930,185875.3179
931,307911.194
943,107097.1155
946,137694.0066
949,120637.119
952,152816.608
954,153695.829
955,152113.2312
956,123978.1589
965,242848.8393
968,215065.4554
973,19614.62505
978,124681.5357
979,119757.898
980,149827.2565
988,97249.84018
989,198711.9447
991,245662.3466
996,131363.6153
997,182006.7455
999,224561.0423
1001,132418.6806
1003,143848.5537
1004,80544.641
1008,199239.4773
1009,338068.4747
1015,264653.5204
1017,439442.657
1021,254454.5567
1023,212603.6366
1025,204514.8033
1027,171104.405
1032,218758.1837
1036,247508.7107
1039,280127.8101
1042,242848.8393
1047,94436.33295
1052,183589.3433
1056,106042.0503
1058,174621.289
1068,131891.148
1071,222275.0677
1072,137518.1624
1077,241266.2415
1080,99359.9706
1086,178929.472
1088,126967.5103
1089,181655.0571
1092,226143.6402
1094,137606.0845
1095,246189.8792
1097,26208.78262
1100,145343.2294
1105,208383.3758
1106,132418.6806
1110,240035.3321
1116,174269.6006
1124,338859.7736
1126,166180.7673
1131,129253.4849
1143,206449.0895
1146,115537.6372
1155,184996.0969
1156,109734.7785
1157,179193.2383
1160,271687.2884
1163,176379.731
1179,234584.1619
1181,206361.1674
1183,107272.9597
1189,284260.1489
1190,127495.0429
1197,177698.5625
1204,138045.695
1206,219461.5605
1207,195546.749
1208,322330.4186
1215,192029.865
1219,138573.2276
1221,224209.3539
1222,166444.5336
1224,232913.6419
1233,212339.8703
1235,151058.166
1236,115889.3256
1240,165741.1568
1246,170225.184
1253,148244.6587
1254,157388.5572
1256,195722.5932
1258,226495.3286
1259,212955.325
1260,245926.1129
1262,171192.3271
1269,259026.5059
1278,177610.6404
1281,290150.9296
1287,403922.1283
1288,172599.0807
1289,251465.2052
1298,243376.3719
1301,155278.4268
1307,143848.5537
1311,135935.5646
1312,140859.2022
1321,258586.8954
1322,151585.6986
1323,272390.6653
1324,46606.71004
1333,115889.3256
1335,185347.7853
1348,203371.816
1358,295602.0999
1359,290150.9296
1360,136463.0972
1361,205130.258
1362,190886.8777
1363,148948.0355
1376,254454.5567
