,index,p_saleprice
0,1,19262.936646977716
1,4,278017.67971568054
2,7,190183.50087584564
3,11,221044.1583060579
4,13,186578.69473727382
5,18,231067.2778133063
6,20,134177.12257657154
7,22,140859.20224807048
8,26,224561.0423436889
9,43,155630.1152061208
10,44,116241.01398465328
11,45,154926.73839859458
12,46,178665.70565260403
13,52,327254.0562425149
14,53,236958.05857633828
15,55,174709.21111026913
16,58,196777.6584464038
17,63,316703.40412962186
18,66,47310.08684708516
19,69,131187.77114458516
20,74,214450.00073549972
21,81,398998.4906101879
22,85,90216.07210618368
23,89,230363.9010057801
24,92,287073.65611258044
25,93,115625.55927806787
26,97,107360.88178963494
27,101,147189.59351580634
28,102,183061.8106996428
29,103,230715.5894095432
30,104,217966.88477313076
31,106,253047.80304850027
32,107,173917.91220180213
33,109,145079.4630932277
34,113,170137.2618613488
35,122,225616.10755497823
36,124,132418.68055775602
37,127,179544.92666201177
38,132,144727.7746894646
39,144,138045.69501796566
40,153,92853.73513440695
41,154,180863.7581761234
42,156,277665.99131191743
43,162,66301.26065029271
44,164,249091.30850616534
45,169,153168.2963797791
46,173,227462.4716747345
47,174,143848.55368005685
48,180,119757.89802228432
49,184,851093.9336476565
50,187,110262.31112068053
51,190,156948.94672023243
52,195,205657.79064142215
53,196,167411.67673218474
54,197,309317.9476505967
55,201,193612.46281253587
56,203,134001.27837468998
57,208,166180.7673190139
58,211,138045.69501796566
59,215,219285.71628724237
60,221,176028.04262438076
61,224,182710.1222958797
62,225,138133.61711890643
63,231,128198.41971259878
64,234,98656.59379649814
65,236,283644.6941758902
66,240,388535.7605982356
67,246,140859.20224807048
68,249,195722.5932351145
69,250,169082.1966500595
70,254,303339.2447866239
71,257,183765.187507169
72,260,108591.79120280579
73,263,115537.6371771271
74,267,187457.9157466816
75,269,142617.644266886
76,272,19175.01454603694
77,275,130660.2385389405
78,278,182885.96649776126
79,279,173566.22379803902
80,283,133122.0573652822
81,287,191502.33238995727
82,289,143848.55368005685
83,297,117823.61180158725
84,300,215856.75435055213
85,301,211021.03879880946
86,304,54871.38752799187
87,322,252168.5820390925
88,325,128374.26391448034
89,326,147365.4377176879
90,331,132418.68055775602
91,333,107097.11548681263
92,335,123626.47046367844
93,336,148948.03553462183
94,338,105602.43977081944
95,341,101645.94522848452
96,343,190798.95558243105
97,345,337980.55255728954
98,346,238101.0458885684
99,349,265796.5076849127
100,352,140155.8254405443
101,353,126439.97769378326
102,354,273006.11996205634
103,358,139276.6044311365
104,369,42738.137598164816
105,380,176379.73102814384
106,386,187985.44835232623
107,390,157388.55722493632
108,399,272038.9768517078
109,413,134880.49938409773
110,416,99447.89270496514
111,419,233001.56403400342
112,427,207679.99896306
113,433,184204.7980118729
114,434,193084.93020689124
115,436,182710.1222958797
116,440,146310.37250639856
117,449,235111.69445658202
118,454,154311.28369200916
119,455,170840.63866887498
120,462,120988.80743545518
121,463,167235.8325303032
122,468,101645.94522848452
123,469,178753.6277535448
124,478,45903.333232032746
125,481,144639.85258852382
126,484,243728.06034877803
127,488,182534.27809399815
128,495,192557.39760124657
129,500,131451.5374474075
130,501,311779.7664769384
131,504,320220.28816725285
132,506,139979.98123866273
133,508,147892.97032333253
134,517,128901.79652012498
135,529,311691.8443759976
136,530,183237.65490152437
137,539,314944.9621108063
138,540,106833.3491839903
139,542,199767.00987839018
140,548,172423.23648580894
141,553,187809.6041504447
142,555,44848.26802074343
143,556,268522.09281407675
144,560,294371.1904906648
145,566,335606.6558318886
146,567,312834.8316882277
147,573,279424.4333307329
148,574,116768.54659029795
149,575,195019.21642758828
150,578,183413.49910340592
151,583,189304.27986643786
152,586,118351.14440723191
153,587,318813.53455220046
154,588,227022.86117003066
155,591,171807.78177922353
156,592,213482.8576251512
157,593,-15466.293224628676
158,595,125912.4450881386
159,602,239595.72160456155
160,607,168906.35244817793
161,608,206097.40114612604
162,615,261400.40263787395
163,633,130836.08274082205
164,635,268961.70331878064
165,640,151058.16595720046
166,643,287864.95502104744
167,645,212515.71451480265
168,650,298591.45133582206
169,651,156685.1804174101
170,676,193348.69650971357
171,677,341585.35869586136
172,685,138397.38342172877
173,690,162488.0390795013
174,692,287249.500314462
175,693,152464.91957225287
176,697,366994.8458677455
177,701,188337.13675608934
178,708,134528.81098033462
179,709,256476.76498519047
180,712,136814.7856047948
181,715,151058.16595720046
182,716,134880.49938409773
183,717,152289.0753703713
184,719,144376.08628570152
185,724,227550.39377567527
186,731,158091.9340324625
187,733,166268.68941995464
188,734,87930.09748172353
189,736,226934.9390690899
190,739,145431.15149699082
191,740,129253.48492388809
192,750,176379.73102814384
193,752,177083.10783567006
194,753,203723.50442072508
195,761,115537.6371771271
196,763,185963.2400306884
197,772,247948.32119393523
198,775,147189.59351580634
199,780,313977.81900045776
200,781,227990.00428037916
201,787,153344.1405816606
202,792,277050.536605332
203,793,154223.3615910684
204,795,114658.41616771932
205,796,382469.13563332206
206,797,323121.71749829844
207,802,158531.5445371664
208,813,216560.13115807835
209,822,164686.0916030207
210,829,90216.07210618368
211,839,269225.46962160297
212,840,310900.54546753067
213,843,150882.3217553189
214,844,151409.85436096357
215,845,146486.21670828012
216,852,212955.32501950653
217,854,271687.2884479447
218,855,179896.61506577488
219,856,112372.44154325916
220,858,179984.53716671566
221,860,198272.334162397
222,865,216999.7416627822
223,868,110701.92162538442
224,884,188864.669361734
225,892,186227.00633351074
226,896,280039.88803731836
227,899,170049.339760408
228,900,175324.66581685454
229,902,179720.77086389333
230,904,234760.0060528189
231,909,241793.774128081
232,911,230188.0568038986
233,912,210141.8177894017
234,916,183853.10960810978
235,919,163455.18218984982
236,923,114658.41616771932
237,927,192381.55339936502
238,928,231594.81041895098
239,930,185875.31792974763
240,931,307911.1940355443
241,943,107097.11548681263
242,946,137694.00661420255
243,949,120637.11903169207
244,952,152816.60797601598
245,954,153695.82898542372
246,955,152113.23116848976
247,956,123978.15886744155
248,965,242848.83933937026
249,968,215065.45544208516
250,973,19614.62505074082
251,978,124681.53567496774
252,979,119757.89802228432
253,980,149827.2565440296
254,988,97249.84018144573
255,989,198711.94466710088
256,991,245662.34656947508
257,996,131363.61534646671
258,997,182006.7454883535
259,999,224561.0423436889
260,1001,132418.68055775602
261,1003,143848.55368005685
262,1004,80544.64100269836
263,1008,199239.47727274554
264,1009,338068.4746582303
265,1015,264653.52037268266
266,1017,439442.6570429447
267,1021,254454.55666355265
268,1023,212603.63661574342
269,1025,204514.80332919207
270,1027,171104.4049716973
271,1032,218758.18368159776
272,1036,247508.7106892314
273,1039,280127.81013825914
274,1042,242848.83933937026
275,1047,94436.33295134091
276,1052,183589.34330528745
277,1056,106042.0502755233
278,1058,174621.28900932835
279,1068,131891.14795211135
280,1071,222275.06771922874
281,1072,137518.162412321
282,1077,241266.24152243632
283,1080,99359.97060402436
284,1086,178929.47195542636
285,1088,126967.51029942793
286,1089,181655.0570845904
287,1092,226143.6401606229
288,1094,137606.08451326177
289,1095,246189.87917511974
290,1097,26208.78262129899
291,1100,145343.22939605004
292,1105,208383.3757705862
293,1106,132418.68055775602
294,1110,240035.33210926544
295,1116,174269.60060556524
296,1124,338859.7735666973
297,1126,166180.7673190139
298,1131,129253.48492388809
299,1143,206449.08954988915
300,1146,115537.6371771271
301,1155,184996.09692033986
302,1156,109734.7785150359
303,1157,179193.23825824866
304,1160,271687.2884479447
305,1163,176379.73102814384
306,1179,234584.16185093735
307,1181,206361.16744894837
308,1183,107272.95968869416
309,1189,284260.1488824756
310,1190,127495.04290507257
311,1197,177698.5625422555
312,1204,138045.69501796566
313,1206,219461.56048912392
314,1207,195546.74903323295
315,1208,322330.4185898315
316,1215,192029.86499560194
317,1219,138573.22762361032
318,1221,224209.35393992584
319,1222,166444.5336218362
320,1224,232913.64193306264
321,1233,212339.8703129211
322,1235,151058.16595720046
323,1236,115889.32558089017
324,1240,165741.15681431
325,1246,170225.18396228956
326,1253,148244.65872709564
327,1254,157388.55722493632
328,1256,195722.5932351145
329,1258,226495.328564386
330,1259,212955.32501950653
331,1260,245926.1128722974
332,1262,171192.3270726381
333,1269,259026.50591247302
334,1278,177610.64044131472
335,1281,290150.9296455076
336,1287,403922.1282628713
337,1288,172599.0806876905
338,1289,251465.20523156627
339,1298,243376.37194501492
340,1301,155278.4268023577
341,1307,143848.55368005685
342,1311,135935.56459538706
343,1312,140859.20224807048
344,1321,258586.89540776913
345,1322,151585.69856284512
346,1323,272390.6652554709
347,1324,46606.71003955895
348,1333,115889.32558089017
349,1335,185347.78532410297
350,1348,203371.816016962
351,1358,295602.0999038357
352,1359,290150.9296455076
353,1360,136463.0972010317
354,1361,205130.2580357775
355,1362,190886.87768337183
356,1363,148948.03553462183
357,1376,254454.55666355265
358,1379,179632.84876295255
359,1380,114042.9614611339
360,1385,134352.9667784531
361,1388,144200.24208381996
362,1389,229484.67999637238
363,1392,177610.64044131472
364,1396,178138.17304695936
365,1399,245486.50236759352
366,1405,152816.60797601598
367,1411,215329.22174490747
368,1412,161432.973868212
369,1416,243288.44984407414
370,1417,178489.86145072247
371,1418,164070.63689643526
372,1426,147189.59351580634
373,1428,216384.2869561968
374,1431,197305.19105204847
375,1441,94700.09925416324
376,1443,138924.9160273734
377,1444,144727.7746894646
378,1451,391525.11203022196
379,1454,132418.68055775602
380,1461,262807.15625292633
381,1463,134528.81098033462
382,1465,520330.9899084583
383,1474,198360.25626333777
384,1475,163543.1042907906
385,1479,207152.46635741534
386,1482,182182.58969023504
