index,p_saleprice
1,19643.04625
4,262229.2248
7,186789.13
11,239793.5089
13,183914.5539
18,232081.2315
20,111278.9235
22,137921.3362
26,236638.4863
43,128386.1569
44,118570.5312
45,154748.1232
46,182231.8752
52,305628.3128
53,234114.4683
55,200811.4524
58,191977.3893
63,295392.0174
66,71455.52774
69,124600.1299
74,218479.5787
81,360455.5936
85,119972.7635
89,219881.811
92,279476.6814
93,109105.4635
97,112751.2674
101,121655.4421
102,190364.8222
103,238321.165
104,225350.5167
106,266085.3635
107,166526.874
109,153626.3374
113,177744.732
122,218129.0207
124,142688.9258
127,182161.7636
132,133574.4162
144,135958.2111
153,118710.7544
154,180899.7545
156,273587.306
162,72577.31354
164,261528.1087
169,166807.3205
173,224228.7309
174,136238.6575
180,116607.4061
184,763877.8108
187,113312.1603
190,179918.192
195,191065.9383
196,157973.2573
197,311517.6883
201,197375.9834
203,111138.7003
208,157412.3644
211,154748.1232
215,224298.8426
221,164002.856
224,196254.1976
225,135397.3182
231,142478.591
234,99780.61911
236,306539.7638
240,373075.6839
246,153626.3374
249,197375.9834
250,171294.4637
254,300159.6071
257,183073.2145
260,110507.6958
263,116607.4061
267,184475.4468
269,134836.4253
272,36820.39126
275,125301.246
278,188401.6971
279,165405.0882
283,132031.9608
287,205088.2608
289,169471.5617
297,128316.0453
300,207331.8324
301,204246.9214
304,72717.53676
322,235727.0354
325,129648.1659
326,157272.1412
331,131471.0679
333,109876.6913
335,123969.1254
336,156991.6947
338,137430.5549
341,120042.8751
343,184195.0003
345,322945.8811
346,208523.7298
349,251361.9249
352,137851.2246
353,105109.1016
354,271974.7389
358,142268.2562
369,53506.95499
380,180128.5268
386,188121.2506
390,150821.8729
399,282351.2575
413,124740.3531
416,103776.981
419,242948.5314
427,206981.2743
433,178095.29
434,200881.564
436,180829.6429
440,138482.2291
449,251221.7017
454,142478.591
455,173958.7049
462,137781.113
463,159515.7128
468,108194.0126
469,170032.4546
478,59115.88397
481,157762.9225
484,260686.7693
488,183704.219
495,192327.9473
500,136589.2156
501,313761.2599
504,319229.9656
506,151242.5425
508,143179.7071
517,132312.4072
529,313410.7018
530,190505.0454
539,313901.4831
540,89474.2121
542,196043.8628
548,173467.9236
553,184896.1164
555,54067.84789
556,268539.2699
560,294831.1245
566,330167.3771
567,304576.6386
573,265384.2474
574,112540.9325
575,198357.546
578,186438.5719
583,196464.5325
586,126843.7015
587,302262.9554
588,241125.6295
591,175641.3836
592,222055.271
593,-8051.040609
595,125721.9157
602,233203.0173
607,169191.1153
608,204807.8143
615,236708.5979
633,127124.1479
635,267207.1493
640,124740.3531
643,290133.6465
645,209855.8504
650,289502.642
651,179707.8571
676,191556.7196
677,330938.6049
685,145493.3903
690,174239.1514
692,291816.3252
693,146895.6226
697,296934.4729
701,192538.2822
708,137500.6665
709,244280.6521
712,145212.9439
715,156360.6902
716,164213.1908
717,159375.4896
719,159796.1592
724,222335.7174
731,164002.856
733,164143.0792
734,129087.2731
736,228084.8696
739,154187.2303
740,154467.6767
750,181951.4287
752,177744.732
753,213571.7659
761,116607.4061
763,192958.9519
772,242878.4198
775,140164.9078
780,295041.4594
781,226472.3025
787,160216.8289
792,247085.1166
793,154467.6767
795,123758.7905
796,359474.0311
797,308222.4425
802,150751.7613
813,217357.7929
822,171504.7985
829,103987.3158
839,255077.8404
840,294971.3478
843,151943.6587
844,155869.9089
845,164633.8605
852,209575.404
854,270151.837
855,188682.1435
856,132592.8537
858,181600.8707
860,201652.7918
865,208243.2833
868,109385.91
884,185807.5674
892,182372.0984
896,264122.2383
899,164423.5257
900,164143.0792
