SubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,Fireplaces,GarageYrBlt,GarageCars,GarageArea,YrSold,SalePrice,index
60,70,8304,6,5,1997,941,941,896,0,1837,0,1997,2,688,2006,187000,3
45,58,6380,5,6,1922,993,1048,0,0,1048,1,1922,1,280,2006,113000,5
20,91,11375,6,5,1954,967,1299,0,0,1299,1,1954,2,494,2007,150000,8
30,55,7111,5,7,1928,1008,1143,0,0,1143,1,1992,1,288,2008,138000,9
70,60,11340,2,1,1920,723,723,363,0,1086,0,1920,2,400,2008,55000,10
120,53,4043,6,6,1977,1069,1069,0,0,1069,0,1977,2,440,2008,140000,12
60,84,10728,8,5,2006,1095,1095,844,0,1939,1,2006,3,1053,2006,266000,14
160,24,2308,6,5,1974,855,855,467,0,1322,1,1974,2,440,2009,147000,16
80,62,7706,6,5,1993,384,1091,0,0,1091,0,1993,1,429,2009,131250,17
50,50,5000,5,7,1941,672,832,378,0,1210,0,1941,1,240,2008,124000,19
70,144,21384,5,6,1923,1324,1072,504,0,1576,1,1923,2,528,2009,223500,21
160,21,2058,6,5,1973,672,672,546,0,1218,0,1973,1,264,2007,113700,24
60,92,10120,8,5,1994,1165,1203,1323,0,2526,1,1994,3,844,2006,290000,25
20,50,14859,7,5,2006,1670,1670,0,0,1670,1,2006,3,690,2006,240000,29
20,52,8626,4,6,1956,0,968,0,0,968,0,1956,1,331,2007,104500,30
40,55,6854,5,7,1925,756,916,144,0,1060,1,1969,1,308,2007,136500,31
190,75,11625,5,4,1965,1039,1039,0,0,1039,0,1965,2,504,2010,131500,32
30,50,6000,5,7,1924,949,949,0,0,949,1,1924,2,370,2008,119000,33
180,21,1596,4,5,1973,462,526,462,0,988,0,1973,1,297,2009,91000,34
70,47,7755,6,8,1918,1100,1100,1164,0,2264,0,1950,1,408,2007,200000,36
80,73,9590,7,5,2003,868,1146,0,0,1146,1,2003,2,438,2007,187500,37
20,72,9000,6,5,1956,1196,1196,0,0,1196,1,1956,1,297,2008,139000,38
50,50,8635,5,5,1948,672,1072,213,0,1285,0,1948,1,240,2008,127000,40
120,89,8232,9,5,2007,1800,1800,0,0,1800,1,2008,3,944,2008,370967,41
50,80,17120,4,4,1959,0,1120,468,0,1588,1,1991,2,680,2008,134432,42
60,77,11198,9,5,2005,1122,1134,1370,0,2504,1,2005,3,656,2008,325000,47
60,120,15611,8,5,2006,1079,1079,840,0,1919,1,2006,2,685,2006,233230,48
20,93,9382,7,5,1999,1468,1479,0,0,1479,0,1999,2,577,2008,191000,50
120,34,3628,7,5,2004,1143,1143,0,0,1143,1,2004,2,588,2006,176400,54
50,65,6435,6,5,1939,972,972,605,0,1577,1,1939,1,312,2006,140200,56
20,56,26073,5,5,1956,1898,1898,0,0,1898,2,1956,2,484,2008,236500,59
60,80,10480,7,6,1976,803,1098,866,0,1964,1,1976,2,483,2008,205000,60
80,80,9600,5,7,1967,1141,1141,0,0,1141,0,1967,1,568,2006,158000,62
120,61,7658,9,5,2005,1752,1752,0,0,1752,1,2005,2,576,2010,319900,64
70,75,12000,7,7,1941,704,860,704,0,1564,1,1941,1,234,2009,174500,65
60,62,8244,7,5,2004,840,840,880,0,1720,1,2004,2,440,2007,183500,67
90,81,9671,6,5,1969,1248,1248,1296,0,2544,0,1969,3,907,2009,190000,68
20,71,9178,8,5,2007,1643,1651,0,0,1651,1,2007,3,870,2007,250000,70
20,102,9373,5,6,1953,1152,1152,0,0,1152,0,1971,2,636,2008,137500,71
20,53,15401,9,5,2004,1884,1884,0,0,1884,1,2004,3,670,2008,387000,72
20,88,11896,7,5,2008,1336,1346,0,0,1346,1,2008,3,660,2010,220000,75
20,86,13286,9,5,2007,1698,1698,0,0,1698,1,2007,3,768,2009,320000,76
160,36,3951,10,5,1998,970,1469,924,0,2393,1,1998,2,846,2008,345000,77
20,98,12704,8,5,2007,1582,1582,0,0,1582,0,2007,3,905,2008,317500,78
75,75,13500,7,8,1879,819,1312,1142,0,2454,1,1950,2,576,2007,185000,80
20,106,12720,10,5,2003,2535,2470,0,0,2470,2,2003,3,789,2008,615000,86
20,65,7514,5,7,1967,943,1387,0,0,1387,1,1974,1,300,2006,145000,87
20,65,7150,5,6,1962,912,912,0,0,912,0,1962,1,252,2009,123000,90
30,50,8635,5,5,1925,1072,1072,0,0,1072,0,1982,5,1184,2009,126500,94
20,128,13001,6,5,1971,1625,1220,0,0,1220,1,1971,2,944,2007,170000,95
20,68,8814,7,5,2005,1274,1274,0,0,1274,0,2005,2,508,2007,203000,98
120,34,5381,6,5,2005,1306,1306,0,0,1306,1,2005,2,624,2009,196000,99
60,85,12244,8,5,2003,1482,1482,780,0,2262,2,2003,3,749,2008,305000,100
60,75,9803,7,5,2005,866,866,902,0,1768,0,2005,2,603,2008,226700,105
20,85,15300,5,5,1965,1068,1264,0,0,1264,1,1965,2,528,2010,169000,108
50,60,10320,6,7,1906,756,756,713,0,1469,0,1906,1,216,2008,135000,110
20,67,9808,7,5,2002,1573,1573,0,0,1573,0,2002,2,544,2009,227000,112
20,70,12702,5,5,1956,0,882,0,0,882,0,1956,1,308,2008,97000,114
20,60,6000,4,4,1953,936,936,0,0,936,0,1974,2,576,2009,93000,116
