index,p_saleprice
1,173706.2225
4,169525.6454
7,171176.7154
11,171565.7256
13,172545.1278
18,170779.1445
20,173579.1661
22,169848.7505
26,173830.3705
43,178548.0835
44,167399.1475
45,170603.0853
46,170696.9997
52,171854.1757
53,171186.0773
55,172659.6649
58,200371.2824
63,179960.437
66,168577.5778
69,167525.7871
74,174368.6169
81,171056.6793
85,168632.5888
89,171349.9291
92,172241.5745
93,167097.5553
97,169792.9059
101,170647.8319
102,170703.653
103,172191.8046
104,170147.6264
106,173203.7438
107,173377.1566
109,170744.8332
113,173100.4511
122,170261.0974
124,172075.3393
127,178808.1052
132,169980.7042
144,168905.8217
153,172151.654
154,170787.3054
156,174942.2823
162,165659.9797
164,175665.6469
169,177636.9472
173,177685.3278
174,166917.1759
180,171266.5692
184,200786.0952
187,170232.9428
190,169921.0644
195,170935.3358
196,168343.2644
197,178042.6239
201,173426.5319
203,166745.7841
208,171799.4655
211,173841.2534
215,170923.9121
221,171347.8594
224,172403.8205
225,173219.6637
231,165970.2078
234,169932.396
236,176204.4108
240,214764.4204
246,170178.2037
249,193069.733
250,172623.4918
254,178153.8724
257,169311.8714
260,168827.0726
263,168172.5448
267,169543.9507
269,168609.0074
272,169760.1332
275,167415.9186
278,171883.3273
279,169310.3077
283,169633.6442
287,174174.7294
289,167980.9072
297,170492.2609
300,174600.4449
301,186440.0623
304,165671.3799
322,169762.4417
325,169775.3603
326,169752.5015
331,168270.0445
333,170936.9855
335,175070.9104
336,169821.3047
338,169068.1507
341,174256.5239
343,170279.9108
345,176088.1594
346,171306.6566
349,215245.926
352,172191.3849
353,172076.2568
354,172573.8544
358,170111.6528
369,169441.7652
380,186926.0721
386,169467.9745
390,169347.0063
399,173537.7568
413,165897.7694
416,168579.7603
419,173058.893
427,169382.7708
433,170449.7716
434,172649.7073
436,168913.0536
440,170979.7379
449,172396.3452
454,166316.181
455,173472.177
462,170724.3781
463,172124.7096
468,166796.8089
469,169804.9084
478,169621.0378
481,170378.5712
484,175863.7387
488,168973.5311
495,170166.6966
500,171121.9204
501,171007.0328
504,175321.9478
506,170993.365
508,178170.2714
517,168551.4619
529,173795.3491
530,168586.4052
539,173233.8595
540,170242.6052
542,169521.9278
548,173364.4334
553,171196.3784
555,169525.4056
556,177212.9857
560,176902.8966
566,177818.8202
567,171460.718
573,173161.1965
574,167467.5668
575,174701.6226
578,170143.6565
583,170594.8251
586,173093.9051
587,172255.64
588,173123.1742
591,170997.5755
592,173944.3085
593,166363.3219
595,171299.6882
602,175135.663
607,170338.6046
608,173439.4696
615,177005.76
633,170087.7693
635,174816.3696
640,174421.3766
643,172603.4228
645,185240.9708
650,177288.0742
651,174030.4761
676,171937.847
677,171640.3163
685,170585.9613
690,168602.4191
692,173215.841
693,175347.4153
697,179450.6594
701,169575.2451
708,170046.5059
709,173554.0758
712,174564.1876
715,171268.5424
716,176512.378
717,170212.1884
719,171530.5734
724,179410.1298
731,173331.4541
733,171956.1379
734,171013.9186
736,178982.4911
739,170568.012
740,170633.4414
750,172429.4691
752,171008.371
753,175970.0446
761,169202.0085
763,176500.2721
772,171570.1021
775,171212.9543
780,194414.4957
781,169232.9903
787,167920.4331
792,171875.5726
793,176168.9901
795,169138.1956
796,177461.1977
797,177317.6665
802,170163.7559
813,170661.9927
822,170994.971
829,168590.8131
839,171818.0921
840,172553.2249
843,173961.8897
844,171367.8065
845,175550.5137
852,172285.7256
854,173307.8401
855,170020.0176
856,171190.6457
858,175221.8876
860,173617.1495
865,174215.1262
868,171495.6974
884,174600.9772
892,171656.3833
896,182684.0915
899,171117.9091
900,173706.1247
902,172025.0074
904,171634.9404
909,172807.3974
911,172437.627
912,168719.0144
916,172589.0008
919,172436.9301
923,170083.0622
927,169831.9878
928,196421.6947
930,172743.6541
931,174906.0367
943,169505.8233
946,172595.5933
949,171810.7957
952,171509.6826
954,168608.3685
955,168569.263
956,172295.3244
965,172211.0896
968,169816.7756
973,175913.7651
978,169461.6176
979,171218.9061
980,170025.0721
988,166573.1907
989,170955.7678
991,171999.2014
996,171083.0255
997,169971.4992
999,172498.653
1001,171090.5742
1003,168398.9428
1004,171759.0733
1008,173395.8118
1009,175092.1885
1015,174297.3436
1017,181217.5988
1021,180170.8682
1023,171201.6837
1025,175037.2975
1027,170857.1528
1032,167674.0969
1036,172061.7355
1039,170496.8353
1042,171590.7593
1047,170082.0735
1052,170434.0314
1056,169657.7989
1058,171532.0537
1068,172423.3438
1071,174404.5975
1072,172135.4607
1077,173337.0713
1080,182697.6222
1086,169987.2347
1088,177579.3449
1089,169798.8705
1092,173595.7211
1094,171570.2086
1095,173508.9045
1097,168431.2423
1100,168588.4326
1105,174869.1429
1106,173732.2941
1110,174303.9218
1116,175024.6592
1124,173460.3086
1126,172200.6765
1131,169811.7529
1143,170103.5924
1146,170347.3162
1155,170053.0125
1156,172461.7977
1157,173501.6548
1160,175744.061
1163,170161.2739
1179,172264.825
1181,172667.6217
1183,169660.6632
1189,174268.7159
1190,171143.8818
1197,171517.7406
1204,170367.3082
1206,170779.0075
1207,172749.9017
1208,178125.9207
1215,171820.4735
1219,172474.4468
1221,173976.9185
1222,166256.7991
1224,170902.2831
1233,172665.9773
1235,175069.7216
1236,171163.6176
1240,168171.7179
1246,173170.2194
1253,170224.2981
1254,168410.3039
1256,170639.7307
1258,172217.5919
1259,170309.8819
1260,173170.1258
1262,171565.2833
1269,172305.8885
1278,167400.3601
1281,173843.3773
1287,175353.3404
1288,170946.0403
1289,173203.2836
1298,170950.5108
1301,176673.2658
1307,169218.0526
1311,170281.5224
1312,174982.9246
1321,172197.4648
1322,168968.7862
1323,174166.5306
1324,167687.7878
1333,169314.0726
1335,167640.2284
1348,168801.1006
1358,186015.8525
1359,173056.2416
1360,170204.6752
1361,177628.8979
1362,174428.088
1363,173469.81
1376,171562.3841
1379,171592.5761
1380,167107.4733
1385,170336.3055
1388,169543.3943
1389,170587.4482
1392,172220.6267
1396,171603.4791
1399,177008.888
1405,171549.6828
1411,171003.2592
1412,169516.5951
1416,170419.8239
1417,168627.4824
1418,172908.7718
1426,170400.735
1428,174523.0122
1431,172371.1566
1441,172326.2957
1443,169340.2506
1444,171120.6916
1451,179792.5191
1454,187716.183
1461,173358.3196
1463,169465.9694
1465,175095.856
1474,175614.7101
1475,169229.3626
1479,173221.584
1482,169323.9532
1484,174609.2405
1485,170078.851
1492,170249.6661
1493,173791.7045
1494,170156.3925
1496,167995.8771
1498,178718.0587
1499,171657.4284
1502,170547.4584
1503,171384.0623
1504,166423.5021
1506,176897.0474
1510,171944.4812
1516,176101.4917
1522,172803.9406
1523,172498.9708
1528,171011.2309
1538,170448.8429
1539,172959.8793
1546,168023.986
1547,175128.0199
1555,171862.4278
1557,170626.2684
1559,165626.2976
1561,173247.0686
1563,169696.113
1567,171223.3871
1577,169791.8414
1580,170231.4498
1589,169398.3436
1590,169626.6928
1592,170755.6122
1593,172869.2023
1594,174903.8795
1599,171816.9803
1605,171514.3721
1607,171440.672
