,index,p_saleprice,saleprice,subclass,zoning,lotfrontage,lotarea,street,alley,lotshape,landcontour,utilities,lotconfig,landslope,neighborhood,condition1,condition2,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremodel,roofstyle,roofmat,exterior1,exterior2,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heating,heatingqc,centralair,electrical,firstflrsf,secondflrsf,lowqualfinsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,fireplacequ,garagetype,garageyrblt,garagefinish,garagecars,garagearea,garagequal,garagecond,paveddrive,wooddecksf,openporchsf,enclosedporch,threessnporch,screenporch,poolarea,poolqc,fence,miscfeature,miscval,mosold,yrsold,saletype,salecondition,qualityindex,totalsqftcalc,pricesqfoot,Neighborhood_Group,pca1,pca2,pca3,fa1,fa2,fa3
0,1,,,30,C,69.0,12366,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,1Story,3,5,1945,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,Slab,,,,,0,,0,0,0,GasA,TA,N,SBrkr,729,0,0,729,0,0,1,0,2,1,TA,5,Mod,0,,,,,0.0,0.0,,,N,0,0,23,0,0,0,,,,0,10,2006,WD,Abnorml,15,729,,,913.3305869305553,-1999.3935442697857,-1354.7763669588655,0.10242447459219302,0.5275222816542836,-1.7933891788317107
1,4,,,20,FV,65.0,8125,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2008,2009,Hip,CompShg,VinylSd,VinylSd,BrkFace,288.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1836,1836,GasA,Ex,Y,SBrkr,1836,0,0,1836,0,0,2,0,3,1,Gd,8,Typ,1,Gd,Attchd,2009.0,Fin,2.0,517.0,TA,TA,Y,0,175,0,0,0,0,,,,0,10,2009,New,Partial,40,1836,,,-3262.04586985075,-1540.533716835717,-102.11882186899031,-0.4582549047662139,0.3824602318945228,-0.13618611550376264
2,7,,,60,RL,80.0,9760,Pave,,Reg,Lvl,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,2Story,6,8,1964,1993,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,340.0,TA,TA,CBlock,TA,TA,Gd,BLQ,536,Rec,117,169,822,GasA,Gd,Y,SBrkr,1020,831,0,1851,0,0,2,1,3,1,Gd,7,Typ,1,Fa,Attchd,1964.0,RFn,2.0,440.0,TA,TA,Y,239,42,0,0,0,0,,MnWw,,0,7,2007,WD,Normal,48,2504,,,-1612.7324526004986,-1700.4292738152062,508.66789789283297,-0.23903464862684068,0.4347020300209146,0.6728018573904565
3,11,,,20,RL,76.0,10141,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,8,5,2004,2004,Gable,Tar&Grv,VinylSd,VinylSd,BrkFace,264.0,Gd,TA,PConc,Gd,TA,Gd,BLQ,516,Rec,774,222,1512,GasA,Ex,Y,SBrkr,1512,0,0,1512,0,0,2,0,3,1,Gd,6,Typ,0,,Attchd,2004.0,RFn,3.0,845.0,TA,TA,Y,210,36,0,0,0,0,,,,0,1,2009,WD,Normal,40,2802,,,-1224.2276335344777,-1744.6636507516957,793.9147132276687,-0.18779505859746082,0.4487922496572177,1.0504344427892889
4,13,,,20,RL,103.0,11175,Pave,,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1316,1316,GasA,Ex,Y,SBrkr,1316,0,0,1316,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2007.0,Fin,2.0,440.0,TA,TA,Y,0,20,0,0,0,0,,,,0,10,2007,New,Partial,35,1316,,,-245.80033423301722,-1834.6983461895713,-726.6623887259988,-0.053416694807799696,0.477633032464414,-0.9622863454079031
5,18,,,60,RL,75.0,9375,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1040,1040,GasA,Ex,Y,SBrkr,1044,1054,0,2098,0,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1997.0,Fin,2.0,621.0,TA,TA,Y,331,38,0,0,0,0,,,,0,4,2010,WD,Normal,35,2098,,,-2009.924067949234,-1665.0587871105927,116.57984390376151,-0.29130930635031227,0.4228249553269648,0.15362872461304788
6,20,,,20,RM,103.0,12205,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,1,1949,1992,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,Fa,No,Unf,0,Unf,0,448,448,GasA,Gd,Y,SBrkr,1588,0,0,1588,0,0,2,0,5,1,TA,6,Maj,0,,,,,0.0,0.0,,,N,0,0,0,0,0,0,,MnPrv,,0,12,2008,WD,Abnorml,3,1588,,,786.9918776853166,-1945.31194190662,-491.11040765473183,0.08406576975381043,0.5130186791107999,-0.6500806582536927
7,22,,,20,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,775,Unf,0,281,1056,GasA,Ex,Y,SBrkr,1056,0,0,1056,1,0,1,0,3,1,TA,6,Typ,1,Fa,Attchd,1968.0,Unf,1.0,304.0,TA,TA,Y,0,85,184,0,0,0,,,,0,7,2010,WD,Normal,30,1831,,,-2939.339101183118,-1575.7388090463553,-118.844993652265,-0.41509992857149514,0.3936419878456273,-0.15816851418866074
8,26,,,60,RL,75.0,12447,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Somerst,RRAn,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,Stone,192.0,Gd,TA,PConc,Gd,Gd,No,Unf,0,Unf,0,1100,1100,GasA,Ex,Y,SBrkr,1116,848,0,1964,0,0,2,1,3,1,Gd,8,Typ,1,Gd,BuiltIn,2005.0,Fin,2.0,760.0,TA,TA,Y,200,70,0,0,0,0,,,,0,1,2006,New,Partial,40,1964,,,1037.5321638853857,-1998.1025187800963,-122.55808545689781,0.11640118011796627,0.5285332641770528,-0.16230170504797248
9,43,,,20,RL,90.0,17217,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1140,1140,GasA,Ex,Y,SBrkr,1140,0,0,1140,0,0,1,0,3,1,TA,6,Typ,0,,,,,0.0,0.0,,,Y,36,56,0,0,0,0,,,,0,7,2006,WD,Abnorml,25,1140,,,5749.565356979184,-2502.3592520684333,-1109.7346906207033,0.7483390731363754,0.6888927765317078,-1.4680769794241433
10,44,,,50,RM,50.0,6000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,3,7,1948,2002,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,331,Unf,0,318,649,GasA,Ex,Y,SBrkr,679,504,0,1183,0,0,1,1,2,1,TA,6,Typ,0,,Detchd,1981.0,Unf,1.0,308.0,TA,TA,Y,0,176,0,0,0,0,,,,0,6,2007,WD,Normal,21,1514,,,-5386.167744608747,-1326.4453312409935,-351.79195771127377,-0.7417063334463826,0.3132998304042297,-0.4670264306776336
11,45,,,20,RL,80.0,9200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,892,Unf,0,244,1136,GasA,TA,Y,SBrkr,1136,0,0,1136,1,0,1,0,3,1,TA,5,Typ,1,Gd,Attchd,1965.0,RFn,1.0,384.0,TA,TA,Y,426,0,0,0,0,0,,,,0,7,2008,WD,Normal,36,2028,,,-2185.7034280294206,-1641.3758601203615,52.172344899638944,-0.3145956781635734,0.4155215403159947,0.06838581922948855
