,index,p_saleprice
0,1,59557.4584483878
1,4,230538.83233559912
2,7,217543.82393826405
3,11,238081.6593133707
4,13,168824.82989685133
5,18,200266.9148387264
6,20,80448.53481321794
7,22,144725.82666263427
8,26,224671.92890742468
9,43,127533.28335045441
10,44,109688.21929201123
11,45,163784.03577266424
12,46,181446.1677332652
13,52,287664.6874024061
14,53,261260.7289856678
15,55,205812.1001339422
16,58,247216.3615159765
17,63,249511.1156939203
18,66,97533.56922090217
19,69,139962.66942242766
20,74,206634.51093239035
21,81,267820.53828854044
22,85,129941.54847348458
23,89,277852.6611194641
24,92,245846.02115036536
25,93,108382.86900832423
26,97,126744.63672144897
27,101,116189.88881593151
28,102,186158.55803094176
29,103,217526.94517723937
30,104,187747.8975112416
31,106,247553.8158948999
32,107,159624.63528733922
33,109,140607.81752254697
34,113,201504.99012700852
35,122,241703.63524215913
36,124,144071.43427800632
37,127,170082.1119545916
38,132,125417.43152387533
39,144,133578.1846429055
40,153,88662.27988572279
41,154,197487.19185714982
42,156,263227.076248838
43,162,88533.64193255384
44,164,277775.3395244718
45,169,109953.89943425287
46,173,315802.965019861
47,174,188835.12004590943
48,180,117512.34333506867
49,184,563869.15377045
50,187,107719.79537133977
51,190,120845.08868095407
52,195,148692.00983746047
53,196,151163.41735899844
54,197,338859.27036274225
55,201,227084.30776437407
56,203,73478.58659979445
57,208,133388.12647614023
58,211,166347.67342303938
59,215,230596.46650420967
60,221,169573.24180965475
61,224,150019.86629961384
62,225,177209.5864444254
63,231,91467.86156797048
64,234,138753.05686011305
65,236,347269.9740171996
66,240,377213.4724468654
67,246,107791.21392313077
68,249,172788.33435259957
69,250,126961.69350025523
70,254,335431.50706156227
71,257,170423.6301187739
72,260,138689.01498301874
73,263,178538.0232935216
74,267,235108.50859562517
75,269,142902.80380046996
76,272,27703.283724917565
77,275,137971.86806496605
78,278,211882.79843109904
79,279,147888.07937927218
80,283,87743.1870532058
81,287,133633.4480846444
82,289,146407.23804517416
83,297,138201.74692772888
84,300,184163.8683007341
85,301,244067.23170823068
86,304,111744.78000128863
87,322,201741.98310111323
88,325,168350.21623116592
89,326,151908.27004762308
90,331,142412.8733391706
91,333,155180.28431838902
92,335,166222.74671053153
93,336,221855.62543698773
94,338,148031.89501691028
95,341,158010.2688137648
96,343,170829.70339593
97,345,260427.32464658387
98,346,120167.25385326624
99,349,232278.18808470457
100,352,148333.48255041917
101,353,121735.50391037739
102,354,307231.18690357683
103,358,130921.55841764738
104,369,11361.131217979128
105,380,172664.2606833023
106,386,237494.53637353797
107,390,140108.64494475175
108,399,330134.4936641854
109,413,117804.64628124365
110,416,103223.51295204926
111,419,253446.0398053379
112,427,191989.88574321056
113,433,137588.1951882023
114,434,210798.88841376058
115,436,192321.75521551503
116,440,130245.8989889191
117,449,193832.8530613908
118,454,150778.4601016501
119,455,182216.12536100193
120,462,121850.73613049125
121,463,155120.59971473133
122,468,126227.29103699746
123,469,137528.26291403407
124,478,98000.24285437923
125,481,125369.18940295011
126,484,273335.72297175403
127,488,141351.25367732486
128,495,205010.9242577448
129,500,120020.22113929235
130,501,237873.02130781428
131,504,351442.3768379099
132,506,134820.2378579384
133,508,142735.74349301402
134,517,147464.20334592194
135,529,353586.66968551266
136,530,184408.27715128043
137,539,251687.20746211743
138,540,128936.75057025498
139,542,178339.1357538494
140,548,169368.79472694383
141,553,187971.0145594821
142,555,62159.82553003763
143,556,282256.68558969593
144,560,346561.1148264231
145,566,375087.433605399
146,567,313461.98531014053
147,573,206190.84881728375
148,574,165506.18412023212
149,575,191116.48702869704
150,578,181303.96351176396
151,583,217014.52640645776
152,586,151905.27872707334
153,587,263796.1035012802
154,588,179362.45443192392
155,591,148634.49801313924
156,592,225182.84041925578
157,593,24215.064517348073
158,595,147350.17534540314
159,602,202595.0702635293
160,607,179381.47339754878
161,608,172211.14524867386
162,615,237589.54444267682
163,633,138277.14716022916
164,635,282567.76243186917
165,640,128754.22247081576
166,643,293248.5674419112
167,645,161389.04548522062
168,650,224091.74011374812
169,651,122656.60721507994
170,676,182035.52386410662
171,677,353754.49013717705
172,685,122870.05586013396
173,690,168356.34405060357
174,692,288637.40320475865
175,693,169480.043252022
176,697,244692.22085888323
177,701,214086.94824334164
178,708,137364.18596791814
179,709,214587.78662108444
180,712,174345.34277202946
181,715,97550.73588031065
182,716,156066.19472036127
183,717,138438.15509134694
184,719,144574.9191517256
185,724,225569.29481144564
186,731,158681.6970053406
187,733,164531.31108347047
188,734,31941.151037185336
189,736,190757.23928340874
190,739,138307.73165790748
191,740,160193.52411796863
192,750,174008.36069747293
193,752,220265.6547701665
194,753,206538.7054572479
195,761,132952.0417085539
196,763,166199.03212098312
197,772,234948.2161182243
198,775,137745.89496452862
199,780,180798.85873292328
200,781,126022.62625323317
201,787,185689.78006616654
202,792,233416.05547311495
203,793,181207.7965738877
204,795,163717.0325799057
205,796,310130.54320042604
206,797,295484.7427800428
207,802,155763.45707045973
208,813,220205.63219398772
209,822,194013.45101612818
210,829,155502.64082568686
211,839,206409.63709781482
212,840,248808.9959076274
213,843,165766.93120901065
214,844,128137.69073700451
215,845,176979.11501004628
216,852,215080.5333727192
217,854,210770.50757181481
218,855,193754.76484577218
219,856,172888.97130075318
220,858,197347.62175342278
221,860,207458.2602958111
222,865,157791.57931676856
223,868,98993.15421222651
224,884,164792.0960499806
225,892,235596.19581234478
226,896,266734.96440021426
227,899,178940.8280249408
228,900,149341.87905813486
229,902,178690.31289341883
230,904,262768.19335336774
231,909,244659.28863938362
232,911,196507.97846112633
233,912,165697.91078287642
234,916,185746.53005627845
235,919,159482.06457909558
236,923,176312.02394473238
237,927,156549.7675013498
238,928,210633.57686313335
239,930,180861.10220550175
240,931,270977.69220872293
241,943,131505.23505225277
242,946,180918.53794991947
243,949,119243.83258953493
244,952,93585.07057551772
245,954,162119.93929785048
246,955,99079.40876283695
247,956,117251.67953296809
248,965,193593.9609724168
249,968,150007.16813681996
250,973,60422.19116007036
251,978,131261.26144415454
252,979,128166.46047046164
253,980,164986.25459267444
254,988,149028.51567502844
255,989,227704.8904994037
256,991,260612.9199578911
257,996,145746.50680872763
258,997,186543.00375946006
259,999,195767.55075678718
260,1001,134619.89749886421
261,1003,153848.64318489202
262,1004,67134.54887590872
263,1008,185857.03802370862
264,1009,312989.63537530333
265,1015,310671.5761582785
266,1017,271443.89233527996
267,1021,160729.45310922049
268,1023,246286.45159221312
269,1025,125374.91494334524
270,1027,114233.69245792239
271,1032,186709.2845990142
272,1036,257191.03571043035
273,1039,202511.04606993205
274,1042,211997.8821621869
275,1047,106591.31484103377
276,1052,160128.97975200997
277,1056,103765.69465253176
278,1058,160476.90493284445
279,1068,122208.07983370323
280,1071,192468.8157050535
281,1072,137963.4400238915
282,1077,250373.8148389184
283,1080,105807.73752717848
284,1086,167865.50389171252
285,1088,188966.65084047872
286,1089,158644.8600813978
287,1092,288732.83534673357
288,1094,149409.92791528837
289,1095,181094.0791638802
290,1097,96757.8947996751
291,1100,114476.10746352689
292,1105,189648.34813054733
293,1106,121439.75947091437
294,1110,276347.54584302567
295,1116,153644.7312071249
296,1124,319748.59989448206
297,1126,186311.0388493481
298,1131,165957.61109897948
299,1143,139916.70777056937
300,1146,128098.33467577153
301,1155,241091.67888345593
302,1156,173404.25012251537
303,1157,90028.88877662609
304,1160,285217.5908416293
305,1163,167087.32816826762
306,1179,296093.80047662626
307,1181,226087.84294373973
308,1183,81468.52494869556
309,1189,298328.2781688827
310,1190,130271.17973337369
311,1197,195744.0092195595
312,1204,147318.05029718007
313,1206,220576.23678712477
314,1207,199540.38736155105
315,1208,266954.8614215781
