index,p_saleprice
1,60913.1787
4,241555.3031
7,220715.6449
11,231745.0184
13,176065.3511
18,202924.4975
20,70253.81912
22,141852.1357
26,230869.3408
43,131210.4114
44,108799.1946
45,160781.337
46,176998.1597
52,268009.9682
53,256029.5969
55,218698.0418
58,252754.6939
63,248964.9022
66,105394.3614
69,136111.1989
74,198470.6672
81,259313.559
85,132971.6062
89,296814.7989
92,229795.9907
93,117220.5528
97,125440.91
101,119554.0597
102,192218.3679
103,204554.536
104,196001.4375
106,274038.6955
107,154857.542
109,138754.5026
113,187278.7085
122,244078.2487
124,147894.6544
127,169907.9655
132,130509.6482
144,126992.2471
153,92624.18962
154,191536.2884
156,290461.539
162,95835.84896
164,289709.7417
169,108999.176
173,318752.6739
174,179659.4841
180,117639.9469
184,509493.7691
187,100890.9273
190,116323.3782
195,141008.6803
196,158709.2036
197,333407.0044
201,231392.4321
203,60253.39652
208,123450.4358
211,166550.5231
215,257443.8573
221,159536.2111
224,141023.4323
225,183143.2308
231,89173.83521
234,143426.0649
236,365289.3747
240,401367.3574
246,98740.64284
249,170192.7088
250,119984.7688
254,325225.02
257,175737.5788
260,147219.451
263,186864.9615
267,236563.3954
269,142253.8062
272,32327.29699
275,127427.4477
278,217725.2358
279,148135.9129
283,89952.82318
287,135325.0193
289,137934.9334
297,136093.7167
300,176649.5016
301,238393.1353
304,117894.0171
322,212835.0081
325,174041.0633
326,152788.2953
331,138394.4846
333,168045.0553
335,185281.6048
336,234771.2542
338,147684.7205
341,159498.6944
343,179323.6378
345,269649.7953
346,111506.8243
349,229770.6549
352,144839.1712
353,124495.9427
354,315367.9837
358,126892.6166
369,9220.599955
380,185717.8377
386,256069.622
390,136886.3467
399,342561.4989
413,109354.368
416,104515.825
419,257690.5161
427,200521.7046
433,139486.2408
434,212111.2921
436,193632.3786
440,135677.4197
449,198664.5486
454,155971.4389
455,188212.543
462,119321.6637
463,153959.4924
468,127946.4693
469,130013.4151
478,99765.7573
481,130469.9402
484,276609.8202
488,137902.1297
495,203933.0126
500,120181.0051
501,238198.627
504,365600.6047
506,129208.8235
508,135853.5439
517,151589.7096
529,365538.1219
530,194022.3251
539,289748.6197
540,134835.9873
542,182382.2992
548,168065.4552
553,187647.0537
555,59511.46977
556,289152.0177
560,356087.9553
566,390589.4782
567,328627.6046
573,205647.7659
574,172074.0941
575,202180.8189
578,187186.6538
583,216968.3897
586,156987.0315
587,249372.1815
588,185944.1575
591,149527.2208
592,226670.3335
593,18666.20183
595,151907.5841
602,197181.6915
607,182592.8007
608,166661.6315
615,230103.1933
633,136781.9724
635,303409.4487
640,132680.6296
643,304117.9043
645,163693.2841
650,184649.4713
651,126698.1803
676,177848.6149
677,357722.8566
685,121235.223
690,173780.429
692,297555.6896
693,181099.5629
697,238401.6158
701,215076.663
708,139329.7896
709,201592.37
712,182897.7068
715,97625.97384
716,167429.1827
717,134018.2311
719,150400.2108
724,232036.0347
731,161216.1998
733,168516.912
734,27565.96295
736,183599.3797
739,138662.0512
740,162690.3748
750,174269.8181
752,223143.4198
753,218287.4016
761,128617.4542
763,155961.7139
772,231431.992
775,138185.5408
780,174589.3755
781,119214.9379
787,185599.5747
792,232643.8582
793,186521.6331
795,170194.2876
796,341300.3074
797,327781.0948
802,152409.0698
813,215500.4032
822,203407.9757
829,163446.8776
839,201231.1119
840,249142.7146
843,172681.595
844,137330.7664
845,177191.7835
852,215515.501
854,216642.2375
855,204741.1495
856,174878.4277
858,194613.912
860,208320.6053
865,143493.429
868,104406.5641
884,164594.5311
892,243467.8297
896,262810.9778
899,183654.4833
900,145133.6411
902,168413.6684
904,257879.9326
909,271656.2178
911,203087.3346
912,169658.347
916,184916.6992
919,157130.8669
923,180690.6803
927,161092.6243
928,213250.9728
930,180333.674
931,271270.0634
943,140573.2589
946,192519.5551
949,120963.5875
952,93044.766
954,161116.3581
955,92994.56353
956,118161.5625
965,188626.5306
968,145255.6056
973,63230.84108
978,132153.7285
979,121076.6656
980,169446.1122
988,145344.2763
989,238657.6143
991,255879.8669
996,142951.2324
997,192678.5916
999,184803.7765
1001,146426.6486
1003,163860.4335
1004,69542.99771
1008,189108.2475
1009,354944.8645
1015,328854.8425
1017,249189.1599
1021,161457.1992
1023,245113.8558
1025,129710.9639
1027,124084.3636
1032,174588.2138
1036,258064.9122
1039,212610.814
1042,220015.9885
1047,114327.1539
1052,150309.1624
1056,104895.5199
1058,160353.3437
1068,126480.8183
1071,184125.7207
1072,141626.4109
1077,267155.6194
1080,101466.2823
1086,180991.061
1088,191624.6252
1089,160513.7801
1092,303313.4999
1094,152126.4735
1095,194599.0336
1097,94585.60233
1100,116538.1627
1105,186973.6449
1106,119408.2995
1110,288166.2489
1116,146436.2878
1124,312106.3401
1126,168245.4348
1131,173486.2899
1143,135361.5297
1146,127101.3344
1155,244092.5042
1156,177350.9613
1157,92992.71258
1160,291793.9602
1163,172732.4999
1179,312139.0684
1181,224566.1012
1183,84122.1745
1189,326246.9081
1190,124560.2907
1197,191525.8561
1204,158027.299
1206,224213.4547
1207,205929.0152
1208,248254.0446
1215,177113.162
1219,183405.1782
1221,225043.0836
1222,105156.6534
1224,245715.3933
1233,223805.1059
1235,175112.6246
1236,79710.00162
