index,p_saleprice
1,30958.80927
4,247184.2471
7,204785.3048
11,240823.3666
13,180451.3536
18,220341.9835
20,67772.11909
22,135132.4346
26,245137.4901
43,123376.4402
44,99826.08213
45,156223.1493
46,180534.6074
52,286711.6175
53,255464.5225
55,216492.8991
58,224344.1735
63,246973.4691
66,80041.02781
69,132858.0674
74,209748.264
81,286430.025
85,134935.8043
89,260459.5286
92,248826.8476
93,106308.5964
97,121181.5652
101,119980.6786
102,196554.287
103,218735.0202
104,212892.2724
106,276888.7714
107,156870.5495
109,144024.1327
113,174570.2596
122,239034.3151
124,133577.154
127,162605.8408
132,125254.611
144,125701.4536
153,97494.77661
154,187436.6986
156,288543.5364
162,84135.05524
164,291694.9702
169,132222.3756
173,298262.1837
174,158946.7942
180,110462.1014
184,619850.5517
187,101239.0799
190,136703.3216
195,159385.6074
196,146733.4319
197,341398.0565
201,211273.2957
203,70334.71434
208,127462.8788
211,159778.9375
215,246099.0948
221,160923.0745
224,163778.0676
225,172298.5282
231,101941.7926
234,124888.5958
236,343110.0677
240,381637.743
246,119842.5111
249,171402.4726
250,136056.2413
254,337738.6374
257,181475.9699
260,129105.6266
263,152686.232
267,220283.8595
269,131902.7474
272,14233.15619
275,123834.3167
278,203338.5114
279,138136.6169
283,97792.85606
287,163858.2095
289,146990.5349
297,129120.8525
300,187412.9745
301,223751.2926
304,98182.66619
322,225507.8779
325,159632.9916
326,153073.466
331,129619.0179
333,132454.3685
335,147597.3445
336,211400.5048
338,151350.8017
341,144981.1849
343,183381.8178
345,283047.7308
346,130370.2643
349,241003.3297
352,130904.4291
353,108944.8528
354,301971.7345
358,139847.3908
369,13922.93527
380,182026.7059
386,217114.8169
390,136584.2151
399,329183.3807
413,101360.7463
416,99398.66479
419,248092.1614
427,207512.1525
433,149885.8581
434,212709.8068
436,190815.1217
440,129390.3144
449,226717.2388
454,147790.5943
455,179848.9688
462,124129.8238
463,139015.1177
468,113430.6973
469,139719.4564
478,87515.71959
481,138914.0847
484,283413.8668
488,157451.808
495,200709.5488
500,126577.3516
501,279658.8356
504,356317.7435
506,133876.0705
508,132275.7294
517,129947.5111
529,357500.7663
530,197476.0421
539,291103.8141
540,111086.6075
542,191202.6355
548,156709.5328
553,188288.6471
555,41054.32253
556,270921.2297
560,344920.6906
566,367223.6907
567,316243.7207
573,214851.1435
574,135994.8535
575,199842.8912
578,190567.1075
583,213641.4089
586,160954.0662
587,272041.2841
588,212463.7495
591,145452.1054
592,234756.3441
593,-3565.684249
595,135621.0231
602,211713.8386
607,180129.9041
608,180118.2356
615,238244.998
633,131517.8155
635,297879.1974
640,120258.8608
643,305283.4589
645,179875.3311
650,214681.9059
651,144902.4785
676,193167.9759
677,355925.9166
685,131564.0317
690,168919.5712
692,299760.1798
693,174103.6158
697,256863.8942
701,210609.3935
708,136471.9332
709,219727.5623
712,173808.6656
715,116062.0931
716,160021.4813
717,143274.3048
719,152011.2098
724,226045.0941
731,153640.2128
733,169296.7009
734,53044.24672
736,201063.8281
739,144619.1091
740,157702.737
750,174030.7944
752,217274.5075
753,218913.057
761,116233.5598
763,171243.2894
772,222924.4094
775,127448.8638
780,218535.5087
781,147357.5778
787,171358.0914
792,241602.6699
793,178507.3076
795,161864.6855
796,343590.9256
797,317326.5639
802,147307.4634
813,215266.619
822,201746.2476
829,144548.4456
839,225458.5168
840,278110.5961
843,167107.4672
844,134653.3752
845,179640.0315
852,209349.823
854,246041.8477
855,205267.788
856,157845.9691
858,190115.822
860,205701.5608
865,176942.1433
868,94900.39862
884,173619.5218
892,214208.2424
896,266793.9566
899,179445.7799
900,148008.3042
902,170768.7697
904,260363.5611
909,272330.457
911,228025.9157
912,196609.9344
916,176069.1293
919,157041.5398
923,168153.2275
927,175396.9564
928,222695.6715
930,187506.9991
931,310097.095
943,115955.8237
946,172957.2122
949,110596.6494
952,89056.63946
954,163520.8481
955,107788.1229
956,112733.3644
965,220186.5095
968,151170.8788
973,36617.72036
978,145718.0689
979,127916.581
980,174842.3242
988,134309.9893
989,228301.0321
991,259801.7154
996,156624.831
997,193122.2122
999,202547.658
1001,136162.5364
1003,148619.7259
1004,67513.49627
1008,192794.7266
1009,334187.7077
1015,291321.1213
1017,332590.5362
1021,183280.2619
1023,234295.0598
1025,146386.0315
1027,129438.3437
1032,192391.6013
1036,248848.3702
1039,223373.0736
1042,240286.6983
1047,100994.8801
1052,167290.9076
1056,115012.9312
1058,165914.9627
1068,111562.2719
1071,202168.1647
1072,134039.435
1077,269493.7921
1080,112897.9173
1086,174818.1959
1088,177180.1245
1089,166534.6916
1092,271308.7801
1094,144622.2661
1095,210082.289
1097,74150.02034
1100,119188.2577
1105,190734.845
1106,117566.2608
1110,280216.4822
1116,157839.9566
1124,308751.5574
1126,153697.4626
1131,156813.2902
1143,147025.0139
1146,107904.0565
1155,229195.4128
1156,165340.9397
1157,120261.0928
1160,284136.7104
1163,177151.6708
1179,288938.8824
1181,233406.2848
1183,93429.71537
1189,316849.3854
1190,125932.6464
1197,190319.5485
1204,154169.4478
1206,232912.796
1207,194754.7628
1208,268771.0814
1215,180636.3723
1219,170549.163
1221,249371.5015
1222,113460.4346
1224,246325.7898
1233,226822.3174
1235,170185.9734
1236,89596.06606
1240,194686.5718
1246,144086.1418
1253,155648.2227
1254,122419.1792
1256,205662.593
1258,196014.8599
1259,223996.8271
1260,267477.8377
1262,129211.7446
1269,236688.9498
1278,102670.0738
1281,293705.2582
1287,399397.9765
1288,179769.0575
1289,239953.0448
1298,262912.5656
1301,141897.7671
1307,154641.3793
1311,124404.1064
1312,136174.546
1321,266240.9784
1322,109718.7087
1323,273776.9025
1324,56013.1249
1333,117075.7061
1335,137016.2987
1348,238346.3609
1358,249846.3255
1359,270961.853
1360,175042.8388
1361,193145.4867
1362,170948.1676
1363,179887.6593
1376,279490.2893
1379,198581.9277
1380,97713.38404
1385,67826.79632
1388,173068.8198
1389,194966.6952
1392,178008.6861
1396,161329.4088
1399,273661.0876
1405,150819.4314
1411,227701.7919
1412,201953.2923
1416,215754.8757
1417,179297.7381
1418,170529.8223
1426,174833.0215
1428,207652.3413
1431,206017.2887
1441,32163.77557
1443,141859.7128
1444,133982.6564
1451,304453.9631
1454,131913.7179
1461,326182.206
1463,156862.5446
1465,396623.6007
1474,156658.273
1475,188049.1041
1479,187547.7021
1482,150335.8391
1484,277162.4227
1485,75903.06761
1492,242962.5385
1493,381987.4556
1494,189690.553
1496,123823.4844
1498,153975.0902
1499,153189.5342
1502,144692.6017
1503,238870.9294
1504,186126.9341
1506,414086.1026
1510,153719.4159
1516,228763.1028
1522,222477.4114
1523,181135.1604
1528,155918.7228
1538,81339.33993
1539,288570.1538
1546,123253.1313
1547,353954.8096
1555,164936.6342
1557,174398.1174
1559,27969.43415
1561,148366.7091
1563,189421.1784
1567,84867.43089
1577,188561.9247
1580,172879.1665
1589,111038.9078
1590,213954.383
1592,154062.1961
1593,162754.6599
1594,277613.5415
1599,167553.1695
1605,138240.7059
1607,169417.2731
1611,110278.2062
1612,246755.2615
1614,93692.98757
1625,208524.7708
1644,111444.4594
1647,105416.7374
1651,259543.6764
1652,139715.4056
1667,125779.1536
1669,123274.3338
1675,208372.9729
1681,160506.2549
1691,127693.9824
1699,200485.3301
1708,159153.3724
1709,67295.98694
1710,164358.688
1711,380679.1644
1715,92660.41957
1721,346683.371
1734,177895.1389
1735,210641.0344
1738,115558.8461
1742,131907.7697
1746,188665.597
1747,116837.8352
1759,229573.8196
1762,184399.6832
1763,135789.1996
1765,232647.681
1770,179045.1503
1771,105922.0767
1772,226884.3477
1774,111451.2742
1776,178241.7529
1778,180326.5803
1779,168049.2205
1784,167179.3496
1785,181734.6825
1787,271632.9654
1790,241598.8887
1792,371879.3409
1793,324151.5665
1796,276773.7244
1801,171947.6563
1802,490034.7822
1806,243174.1093
1807,293830.8511
1812,121739.539
1813,186781.3755
1819,324752.3296
1821,161528.7383
1822,225451.6935
1825,111671.848
1830,201747.1468
1831,136373.5427
1836,237621.6552
1841,339098.418
1849,171068.2734
1853,147797.8324
1857,260484.8487
1859,158829.7747
1862,143996.5
1864,203201.3416
1867,410295.7463
1869,293268.1702
1881,194594.33
1883,150082.7416
1887,116529.0997
1889,168650.7361
1891,145274.0823
1893,153339.6002
1894,239609.7913
1898,188756.7104
1902,238283.5085
1909,170185.7948
1912,238622.9864
1915,6354.374594
1919,183086.3982
1920,183709.4154
1921,165067.2919
1932,73043.49856
1933,190461.2546
1941,193297.8778
1944,156212.3384
1948,207064.528
1949,90406.5373
1951,214514.8766
1956,107552.8794
1962,34123.78532
1965,153775.4064
1968,170197.1627
1971,138161.701
