,index,p_saleprice
0,1,177273.81806985504
1,4,172507.98760081248
2,7,171953.9409448803
3,11,171146.179079818
4,13,173351.27663221286
5,18,172741.94686966683
6,20,177032.6924311816
7,22,174344.23801877585
8,26,172018.14297758014
9,43,173878.36075907058
10,44,176249.22033389655
11,45,173597.44421487767
12,46,173214.3961391105
13,52,170107.5722138045
14,53,170815.50806885402
15,55,171692.56884090748
16,58,169236.71019298089
17,63,170592.33227870674
18,66,176374.45604555402
19,69,175231.48090985144
20,74,172075.73522463528
21,81,170697.75056096792
22,85,174580.57829099658
23,89,171687.62190131916
24,92,171094.85056567824
25,93,175739.3764103402
26,97,174598.85156344724
27,101,174646.88538490923
28,102,173056.89148151572
29,103,171656.2025255329
30,104,172898.26905287156
31,106,172406.05469426437
32,107,173557.04311062212
33,109,174404.97757414394
34,113,172926.29276024713
35,122,171894.98017911334
36,124,175012.14586447188
37,127,172325.7256151343
38,132,175243.60321381132
39,144,174928.31646115266
40,153,176265.48467429233
41,154,172765.88360915502
42,156,171184.684797311
43,162,176297.66043898405
44,164,170803.0210123707
45,169,175061.83695452876
46,173,168281.60967582025
47,174,173106.47683579513
48,180,175115.4752207566
49,184,159187.94532658672
50,187,175916.35702393952
51,190,175494.19551041434
52,195,174481.49223498008
53,196,175412.12725798006
54,197,167308.2315574741
55,201,171918.206424832
56,203,178025.85570594147
57,208,174934.99608863296
58,211,173738.043218699
59,215,173204.8215768034
60,221,173562.81128504465
61,224,174425.4015307794
62,225,172375.84094892902
63,231,177106.88369507747
64,234,174319.31047516447
65,236,169523.27806266115
66,240,164678.9908551994
67,246,176158.5622159056
68,249,171787.87798158443
69,250,174910.20697641087
70,254,169297.1597069229
71,257,173833.75981482503
72,260,174815.60381544213
73,263,173314.31827604608
74,267,172274.61594865136
75,269,174663.3732745834
76,272,178699.73974822572
77,275,175674.95156236045
78,278,171975.5130069464
79,279,174814.34607128147
80,283,176690.446241003
81,287,173679.19531395487
82,289,175019.58768702496
83,297,174496.99841845274
84,300,172748.18047847287
85,301,170711.2344251398
86,304,177177.03798574445
87,322,173143.49576855035
88,325,173626.50661064
89,326,173364.27086503623
90,331,174688.86133171237
91,333,174527.64311897947
92,335,172566.37954906182
93,336,170648.8692023685
94,338,173952.7229673984
95,341,173375.6552369861
96,343,173498.82784940262
97,345,170275.58007561913
98,346,176481.69889011263
99,349,167546.2609443515
100,352,174121.7026239064
101,353,174806.00989697533
102,354,170634.02566342521
103,358,175280.94399938852
104,369,179310.38455470203
105,380,171651.60968429944
106,386,172657.42624402902
107,390,174618.314092589
108,399,170122.37982872958
109,413,176349.18294322904
110,416,176245.56744101382
111,419,171101.03278691624
112,427,173459.8374633402
113,433,174828.21918590047
114,434,172235.83175902534
115,436,173282.27982936462
116,440,175005.70946123946
117,449,172675.416981176
118,454,174454.4398614668
119,455,172557.5758415377
120,462,174507.71658213323
121,463,174366.4808390427
122,468,175346.70947199638
123,469,174838.44058168927
124,478,175865.2142156475
125,481,175208.14329587208
126,484,170294.35221727993
127,488,174561.267722805
128,495,172814.42071801872
129,500,175243.64115030237
130,501,171421.68490731873
131,504,169050.57717223122
132,506,174678.16301592725
133,508,173270.7650857667
134,517,174671.90150729942
135,529,169243.29470133895
136,530,173765.21356575485
137,539,171886.94209906078
138,540,174609.1488745078
139,542,173586.38282168712
140,548,173245.74670430025
141,553,172722.46088925845
142,555,177791.52725754408
143,556,169470.19721359405
144,560,168140.63682067723
145,566,168577.69870827926
146,567,170792.88828399964
147,573,172360.3184234778
148,574,174437.92093452762
149,575,171470.71949225685
150,578,173331.57708105596
151,583,172278.1228890284
152,586,172994.41226675565
153,587,170439.38534666938
154,588,173020.81962978584
155,591,174569.7363186143
156,592,172172.82748868788
157,593,179437.08108695102
158,595,174629.23351498888
159,602,172527.27612001996
160,607,173021.82549116493
161,608,172415.79331638414
162,615,172093.34699040937
163,633,173871.91726889304
164,635,171306.43429583355
165,640,174347.44374646258
166,643,170476.23820088938
167,645,172516.51144865708
168,650,173295.2768762895
169,651,175054.74187921712
170,676,172740.81940482368
171,677,168683.71330420935
172,685,174742.8120340888
173,690,174231.28892749603
174,692,171195.23443895992
175,693,173717.48218771542
176,697,171544.30762837688
177,701,172407.6022852377
178,708,174932.05120118312
179,709,172262.82399586393
180,712,173005.26479179552
181,715,175751.8597071025
182,716,173291.42689598547
183,717,174517.3877851101
184,719,174099.79657730515
185,724,171212.69437229354
186,731,173170.34814440072
187,733,173325.2639793947
188,734,178862.00738805346
189,736,171548.5279301538
190,739,174437.01238633564
191,740,174214.55975795307
192,750,172929.98722580363
193,752,172007.32385387082
194,753,172631.80045880994
195,761,174928.3369283651
196,763,172738.86840869134
197,772,171515.7525815693
198,775,174852.64530039657
199,780,171362.02860787476
200,781,175899.01784970376
201,787,173386.7556731569
202,792,172573.6165916229
203,793,172234.53178752627
204,795,173725.06762555748
205,796,169759.03728152727
206,797,170185.48460978185
207,802,173990.94402212845
208,813,172376.57370518835
209,822,173010.97665379962
210,829,174066.6748009143
211,839,172130.96011762085
212,840,171497.46743963115
213,843,173459.22890828358
214,844,174809.08499980113
215,845,172469.96710566198
216,852,171424.20369801277
217,854,171817.40166745675
218,855,173219.28389784883
219,856,173761.62419211195
220,858,172728.7583333745
221,860,172056.94960097387
222,865,173877.46070893618
223,868,175970.88429108026
224,884,172552.6168791897
225,892,172053.60832240348
226,896,169519.25379408267
227,899,173354.5398024712
228,900,173389.68879031506
229,902,173382.77505963465
230,904,170694.26711886868
231,909,172521.60456105703
232,911,172384.46503768887
233,912,173504.20991137146
234,916,173067.83502125271
235,919,173513.71468930005
236,923,172764.7010823386
237,927,173741.87722552987
238,928,171651.84288408907
239,930,172615.77086613222
240,931,169635.16416908053
241,943,174942.89326687582
242,946,172251.82447297254
243,949,174644.8196012945
244,952,176613.04377334772
245,954,174216.67657265987
246,955,176241.50789554993
247,956,175482.0469492358
248,965,173052.6965694842
249,968,174962.84095665696
250,973,177705.3826060235
251,978,174948.49457892176
252,979,174600.25092041888
253,980,173583.1653044381
254,988,174703.7290363341
255,989,171712.96398005515
256,991,170797.50438852006
257,996,173662.98439973508
258,997,173118.07392301748
259,999,172675.77874530674
260,1001,174456.6031384796
261,1003,174807.24827262672
262,1004,177123.54413086473
263,1008,173473.84602150472
264,1009,169757.02131814268
265,1015,171039.62374398374
266,1017,169673.57764317186
267,1021,172343.04136126893
268,1023,170816.88232368467
269,1025,174611.18779695057
270,1027,174582.90183022362
271,1032,173937.40217587058
