,subclass,lotfrontage,lotarea,overallqual,overallcond,yearbuilt,yearremodel,masvnrarea,bsmtfinsf1,bsmtfinsf2,bsmtunfsf,totalbsmtsf,firstflrsf,secondflrsf,lowqualfinsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,totrmsabvgrd,fireplaces,garageyrblt,garagecars,garagearea,wooddecksf,openporchsf,enclosedporch,threessnporch,screenporch,poolarea,miscval,mosold,yrsold,saleprice,index,totalsf
subclass,1.0,-0.47265669286422796,-0.19040494857892237,0.08910517682535792,-0.1022030858788447,0.09565170657439165,0.07818484322353574,0.03762895579298443,-0.08009437551930261,-0.05485470847949329,-0.10432071228337864,-0.21189206738064495,-0.26183868797425874,0.32368401586620826,0.02974045599328057,0.08517122788627954,-0.001048446091767775,-0.031283863901331366,0.14954058196008166,0.21544861188045905,-0.045359226964718384,0.2200635855110863,0.026458264043142613,-0.04999341753967003,0.14641694756073925,-0.02072574681138542,-0.08117175484417503,-0.024065740192170365,0.0015939849503940038,-0.021640901718087722,-0.049172365185188596,-0.06063781921534526,-0.016808685362006897,-0.032136946531618533,0.012287154787672139,-0.03226241322780843,-0.06180796768720814,-0.0008835280467877437,-0.0721121999534627
lotfrontage,-0.47265669286422796,1.0,0.43310837193763135,0.16546487186314668,-0.07208906366014776,0.09329357864701075,0.0396011987429989,0.22658812099719283,0.19413646629848805,0.0777480070264901,0.08650969955616773,0.318215607434784,0.4612730019697616,-0.03737226373796021,-0.03179847506612411,0.3271034006060084,0.1227017388746712,-0.01549864121050673,0.14673357852425437,0.024388949832076654,0.2146647752412982,0.023354883868630907,0.3266022141530546,0.25909305363242663,0.04282549160250229,0.3001725101520107,0.34422995899837583,0.13284767291229155,0.16490400829343196,-0.015078854971187819,0.035154157577963696,0.10606279255228765,0.10809145514889777,0.02075330104378065,-0.024516693643194105,0.010236131297043021,0.37536146464561576,-0.036505239288579,0.4094170044822185
lotarea,-0.19040494857892237,0.43310837193763135,1.0,0.0703106305808379,-0.03582504537525923,0.010415148993591647,-0.01064516368612607,0.06506472101352102,0.1594272649491825,0.0986673877234886,-0.009650639340650897,0.19777526482373586,0.309478968935398,-0.00749946861115877,-0.003909993280133997,0.2310583942556562,0.13561561312499087,0.0022243553648849113,0.11762269131610154,0.011842109440436057,0.10805542649116275,-0.011143640161341678,0.18163739992152583,0.22747555151728918,-0.020702592743853093,0.15209272135454097,0.17331112530735931,0.17854151819388606,0.07102144223602783,0.0023508411726318335,0.017726434817664855,0.02776628190328197,0.05139485864155044,0.04466428823916894,0.014929068546581565,-0.0037911794566831327,0.2698327700521245,-0.012840471687810941,0.26201332903905694
overallqual,0.08910517682535792,0.16546487186314668,0.0703106305808379,1.0,-0.10058066117141917,0.5602200859226069,0.5263369614701751,0.3811591635659407,0.2938205837468261,-0.013902433886326634,0.19971546274868535,0.49985080858128583,0.40833480111671305,0.2786359751466355,-0.0293208642583996,0.5558970346005772,0.1821375513586007,-0.04177218393057439,0.4983654387243218,0.29248141698804464,0.07599429365611901,-0.14832696303792806,0.35891642649061406,0.3997461193006973,0.5245521152238142,0.5648567547744578,0.5167377807988802,0.27721320944167016,0.3000703716692518,-0.13588768115184205,-0.004313804262334575,0.016397902563064608,-0.006858336421697742,-0.030663076648069203,0.0006680287494720865,0.044007111408575224,0.7938539432174785,-0.012848920475199806,0.6653133855225669
overallcond,-0.1022030858788447,-0.07208906366014776,-0.03582504537525923,-0.10058066117141917,1.0,-0.4131438658906838,0.07975895786642366,-0.14435667377030645,-0.07980438058918858,0.034658518146314134,-0.12148764961981945,-0.19037481413253898,-0.14867212673446312,0.012748415118407875,0.049495841364782016,-0.09887560302521972,-0.06781505563870165,0.09270553207071772,-0.2118411353679188,-0.08577636342622633,0.007646128454786504,-0.09475256660015813,-0.05365281861265934,-0.03950371717857948,-0.3380194183946032,-0.19900667799464616,-0.17811039748812654,0.00318801914207604,-0.05895568569730411,0.04425185765666674,0.04232952718551567,0.0668602688254956,-0.0226571184291318,0.03222449350584584,0.019615481627367863,0.032539412965523956,-0.10048851593713333,0.06936415350059139,-0.18660683114347934
yearbuilt,0.09565170657439165,0.09329357864701075,0.010415148993591647,0.5602200859226069,-0.4131438658906838,1.0,0.5459353664621972,0.30816744848344046,0.33447907578171815,0.0034137006859243607,0.03088106135093797,0.3788802796262241,0.2755014491795605,0.03447763392287079,-0.14082413773307428,0.22996519629170178,0.26231187468602757,-0.031947059856613245,0.4552929329515471,0.28931516617532776,-0.01795155387784147,-0.11368333419663082,0.09069649717889736,0.1700308754791846,0.8260532674099541,0.5074673687621635,0.45709391181464565,0.25559240312893233,0.18221500753363337,-0.3569470911062956,-0.0025888253222805624,-0.0678672403310554,0.003807414907739907,-0.016606060397968553,-0.02506267078236498,0.024117579679998592,0.5362483099760678,-0.04787280517350841,0.4139999582170652
yearremodel,0.07818484322353574,0.0396011987429989,-0.01064516368612607,0.5263369614701751,0.07975895786642366,0.5459353664621972,1.0,0.16255526622544342,0.17239187483387572,-0.033894584886120176,0.0684754896691867,0.23300201360668046,0.18219344684627828,0.18284179451311247,-0.05416546889396147,0.29583078541273744,0.17718407351651028,-0.057303276545538004,0.426125875968152,0.22288014813754695,0.000433529803248081,-0.1341273146635098,0.17554699116479752,0.12534830226274726,0.5974160740394018,0.3695883743714651,0.3119330531265148,0.22629062308372735,0.23329249570193325,-0.19895969995661097,0.02458212701530483,-0.06248881126226924,-0.02124657293014607,-0.030554793393058787,-0.008404990177091757,0.090025994025554,0.49549023420965094,-0.049767619822493094,0.34722690984414556
masvnrarea,0.03762895579298443,0.22658812099719283,0.06506472101352102,0.3811591635659407,-0.14435667377030645,0.30816744848344046,0.16255526622544342,1.0,0.2615232104671702,0.009361626577620024,0.06685784145659625,0.3421028427665313,0.3381184381570864,0.12433001985374816,-0.057060029533961755,0.3639173428849915,0.12228922613005147,-0.019889474999172436,0.24894497005097682,0.20571768949001085,0.10977716213594538,-0.036136445510478954,0.23655826511938152,0.23830365530946268,0.2422834881570625,0.33208694306350667,0.3301327027168089,0.161680481724223,0.13847899515552844,-0.09621811927603159,0.02051152867663527,0.022073330777919727,-0.0035831421546387177,-0.020560472752140554,-0.003318298430708604,-0.021982934939915023,0.4860479351216694,-0.039209603601147724,0.4405071564924999
bsmtfinsf1,-0.08009437551930261,0.19413646629848805,0.1594272649491825,0.2938205837468261,-0.07980438058918858,0.33447907578171815,0.17239187483387572,0.2615232104671702,1.0,-0.05669154941633357,-0.4810659099186798,0.5248348567973551,0.42465641662495257,-0.1972412402013402,-0.07675548959082766,0.14690044226674592,0.6328993188319288,0.046168248303694,0.09088237904879574,-0.017732354812772095,-0.12220378573690104,-0.12464540897071234,-0.0032193368741414096,0.26614856424737726,0.23848906824432742,0.26117016183198954,0.2925875114923486,0.23123282501208556,0.10735640567019154,-0.10868488360403712,0.04530650104715332,0.03967616517078945,0.026904507215425935,0.026935219273983714,-0.009325508465954518,0.029546383078394935,0.475259078477478,0.036520814064905226,0.39804030250396
bsmtfinsf2,-0.05485470847949329,0.0777480070264901,0.0986673877234886,-0.013902433886326634,0.034658518146314134,0.0034137006859243607,-0.033894584886120176,0.009361626577620024,-0.05669154941633357,1.0,-0.25355628933340457,0.1159553814606116,0.11125445500115103,-0.114797398423694,-0.009893943790920963,-0.016008623139241326,0.18299904809938405,0.14366367631111543,-0.06337965886803705,-0.039202428736696215,-0.054625039896187284,-0.03989704100696113,-0.06277838051561677,0.05685404167064495,-0.02604298227014018,0.023362063455261015,0.0498500371043648,0.13021905173915807,-0.007807652673473005,0.013003208453304065,-0.026887793159389883,0.0490763802894348,0.059972031609964255,-0.00872981389518158,-0.01369632560193202,0.0006672087866468292,0.05018724278213355,-0.016437603489064187,0.05765826520686302
